essential_id,name_ko,name_en,layer,axis,tier,evidence_type,evidence_ref,experiment_summary,patent_ref,tissue_scope,quant_range,alternatives,open_issues,confidence,confidence_reason
N-029,연질 0.1 kPa 구속(신장 오가노이드),soft 0.1 kPa confinement (kidney organoid),L3,AX-2;AX-3;AX-9,E1,DOSE,DOI:10.1002/advs.202200543,"산화 알지네이트 기반 이민형 동적 공유가교 겔 라이브러리(0.1/3/20 kPa, 그리고 0.1 kPa에서 느린·빠른 응력완화 2종)에 신장 오가노이드를 봉입했다. 굳은 겔에서는 일부 신장 세포형이 소실되고 상피-간엽 전이(EMT) 표지자 SNAIL이 3·20 kPa에서 검출된 반면 0.1 kPa에서는 검출되지 않았고, 무르고 응력완화가 있는 겔에서 내강 형태가 개선되었다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),신장,"G′ 0.1 / 3 / 20 kPa (유변계 진동측정, 평행판, 주파수 스윕)",티올-엔 알지네이트 0.2 kPa 겔,성체 신장 강성(5~10 kPa)이 아니라 발생기 배아 신장에 가까운 0.1 kPa가 우수한 이유 미규명,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-030,섬유화 모사 강성 4 kPa,fibrosis-mimetic 4 kPa,L3,AX-2;AX-9,E2,DOSE,DOI:10.1038/s41467-020-17161-0,"간 생리 강성(1.3 kPa)을 넘어 4 kPa 섬유화 모사 겔을 만들자 간 오가노이드 표현형이 유의하게 변했고, YAP 표적 유전자 발현과 YAP 핵 국재가 0.3 kPa 대비 굳은 겔에서 증가했다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),간(질환 모델링 용도),"4 kPa (유변계 진동측정, 평행판)",정상 모사 1.3 kPa,질환 모델링 목적에서는 '높은 강성'이 오히려 요구 사양 — 필수/불필요 판정이 목적에 종속,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-031,PEG 강성 0.7 / 2 / 8 kPa (신경관 오가노이드),PEG 0.7/2/8 kPa (neural tube organoid),L3,AX-2;AX-9,E2,DOSE,DOI:10.1038/s41467-021-22952-0,"FXIII 가교 nd-PEG 겔을 1.25%(0.7 kPa), 1.5%(2 kPa), 3%(8 kPa) w/v로 조성해 인간 신경관 오가노이드를 봉입하고 신장(stretch)을 가했다. 오가노이드는 가장 무른 겔에서 가장 빨리 커졌으나, 신장에 의한 크기 증가는 중간 강성 2 kPa에서만 나타났다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),뇌/신경관,탄성률 E = 700 / 2000 / 8000 Pa (인장 기준); 라미닌 0.1 mg/mL 병용,약 100 Pa PEG(초기 뇌 오가노이드),강성은 '형성 여부'가 아니라 '외력에 대한 반응성'을 좌우 — 필수성 등급 판정이 지표 의존적,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-032,GelMA 강성 구배 2.99~11.31 kPa (폐),GelMA 2.99-11.31 kPa (lung),L3,AX-2;AX-9,E2,DOSE,DOI:10.1038/s41467-026-75663-9,"젤라틴 8% w/v 고정, 메타크릴로일 치환율 30/60/90%, LAP 0.25%, UV 30초 조건으로 압축탄성률 2.99±0.24, 6.22±0.65, 11.31±0.12 kPa의 GelMA 3종을 만들었다. 강성이 올라갈수록 NKX2-1·SOX2·SOX9 발현과 NKX2-1+ 세포 비율(35.0→49.7%)이 증가했고, 기도 오가노이드에서는 분비세포가 무른 겔, 배상세포가 굳은 겔, 섬모세포가 중간~굳은 겔에 각각 많았다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),폐,압축탄성률 2.99 / 6.22 / 11.31 kPa (압축시험); 부위별 폐 강성 참고값 0.5~15 kPa,Matrigel(강성 조절 불가),세포 운명을 바꾸는 것이지 형성 자체를 막지는 않음 — E0 아님,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-033,Matrigel 기준 물성값,Matrigel reference mechanics,L3,AX-2;AX-8,E2,REVIEW,DOI:10.1016/j.bioactmat.2025.09.021;DOI:10.1002/adfm.202000893,"구형 압자 원자간력현미경으로 표준 Matrigel의 탄성률 E는 443 Pa, 유변학적으로는 3~19.1 mg/mL 농도 구간에서 G′이 9 Pa에서 288 Pa로 증가한다고 보고되었다 [전문 확인]. 간 오가노이드 논문의 실측에서는 Matrigel G′이 약 71 Pa였다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),전체(기준값),"E = 443 Pa (AFM, 마이크론 구형 압자); G′ 9~288 Pa (농도 3~19.1 mg/mL); 실측 G′ ≈71 Pa",해당 없음(기준값),같은 재료에 대해 측정법(AFM vs 유변계)과 농도에 따라 한 자릿수 이상 차이 — 교차 비교 시 주의,중,총설·제조사 자료 기반 정성 근거(제거·치환·농도반응 실험 없음) — 규칙에 따라 E2 이하로만 판정
N-034,"자가조립 펩타이드 겔 G′ 1,050 / 4,310 Pa (신장)",SAPH G' 1050/4310 Pa (kidney),L3,AX-2;AX-9,E2,DOSE,DOI:10.1016/j.bioactmat.2022.08.003,"PeptiGel Alpha4와 Alpha5를 비교했고 0일차 G′이 각각 1,050 Pa와 4,310 Pa였으며 전 구간에서 G′≫G″였다. 신장 오가노이드·기본배지에 15일 노출하는 동안 G′이 각각 증가했다. 두 겔 모두 Matrigel 보고값(<100 Pa)보다 굳었다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),신장,"G′ 1,050 Pa / 4,310 Pa (유변계 진동측정, 평행판, 주파수 스윕, 저변형)",산화 알지네이트 0.1 kPa 겔,같은 신장 오가노이드에 대해 0.1 kPa와 1~4.3 kPa 모두 '작동'한다는 상반 보고 — 배양 단계 차이로 설명되나 미검증,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-035,PIC 겔 G′ 12~83 Pa (간),PIC gel G' 12-83 Pa (liver),L3,AX-2;AX-9,E1,DOSE,DOI:10.1002/adfm.202000893,"PIC 농도를 낮출수록 간 오가노이드 증식이 유의하게 증가했고 1 mg/mL이 최적이었다. 실측 G′은 5k PIC 약 83 Pa, 1k PIC 약 18 Pa였고 LEC 첨가 시 각각 약 38 Pa, 약 12 Pa로 낮아졌다(대조 Matrigel 약 71 Pa) [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),간,"G′ 12 / 18 / 38 / 83 Pa (유변계, 평행판, 4→37 °C 승온 후 주파수 스윕)",PEG-RGD 1.3 kPa 겔(같은 조직에서 정반대 강성 최적값),"간 오가노이드 최적 강성이 한쪽은 수십 Pa, 다른 쪽은 1.3~1.7 kPa — 미해결 쟁점",중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-036,PIC 겔 강성 0.32 vs 2.3 kPa (유선 콜로니 형성률),PIC 0.32 vs 2.3 kPa (mammary colony formation),L3,AX-2;AX-9,E2,DOSE,DOI:10.1002/advs.202001797,RGD 밀도를 고정하고 강성만 0.32 kPa(PIC-1)와 2.3 kPa(PIC-3)로 바꾸자 무른 겔에서 기저세포 콜로니 형성률이 유의하게 높았고 관강세포에서도 같은 방향의 약한 효과가 있었다. 반대로 세포 조성비는 강성이 아니라 RGD 밀도가 결정했다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),유선(참고 조직),"G′ 0.32 kPa vs 2.3 kPa (유변계 진동측정, 평행판)",Matrigel,강성과 리간드의 효과가 서로 다른 지표에 걸리므로 단일 최적값 제시 불가,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-037,알지네이트 고분자 농도 1~2% w/v,alginate polymer density 1-2% w/v,L3,AX-2;AX-9,E1,DOSE,DOI:10.1016/j.stemcr.2018.12.001,HIO 생존이 알지네이트 고분자 농도에 의존했고 초기 생존과 총 수율을 함께 고려해 1~2% (w/v)가 선택되었다. 저자들은 HIO 최적화 PEG 겔과 기계적 성질이 비슷했다고 기술하며 HIO 생존의 강성 의존성을 확인했다고 결론지었다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장(hPSC 유래 HIO),알지네이트 1% / 2% / 3% (w/v) 비교; 모듈러스 수치는 본문 미기재,PEG-4MAL + RGD + GPQ-W 분해성 가교,알지네이트 절대 모듈러스가 본문에 없어 다른 계와 수치 비교 불가,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-038,췌장 조직·종양 강성 기준값,pancreas tissue/tumour stiffness reference,L3,AX-2;AX-9,E2,DOSE,DOI:10.1038/s41563-021-01085-1,"원자간력현미경으로 정상 마우스 췌장 평균 강성 1.48±0.3 kPa, 종양 보유 조직 중앙값 3.55 kPa·평균 8.48±2.2 kPa(측정치의 90%가 약 20.1 kPa 이하)를 측정하고, 이를 합성 겔 설계의 목표 범위로 삼았다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),췌장; 종양,"1.48±0.3 kPa (정상) / 3.55(중앙값)~8.48±2.2 kPa (종양), AFM",해당 없음(기준값),조직 강성과 '오가노이드가 잘 자라는 겔 강성'이 반드시 같지 않다는 점이 여러 조직에서 관찰됨,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-039,탈세포 위 ECM 겔 농도 5 mg/mL,gastric dECM hydrogel 5 mg/mL,L1;L3,AX-2;AX-8;AX-9,E1,DOSE,DOI:10.1038/s41467-022-29279-4,돼지 위·소장 전층을 비이온성 계면활성제(Triton X-100)로 탈세포해 만든 SEM/IEM 겔에서 위 오가노이드를 배양했고 시험한 모든 농도에서 형성되었으나 5 mg/mL에서 형성 효율이 최고였다. 점막만으로 만든 SEM/IEM 겔은 오가노이드를 지지하지 못해 바닥에 붙고 형태가 변형되었으며 형성 효율이 전층 유래 겔보다 유의하게 낮았다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),위; 장,"SEM 3 / 5 / 7 mg/mL 비교, 최적 5 mg/mL",Matrigel; 전층 유래 IEM,점막 유래와 전층 유래의 차이를 만드는 구체 성분은 단백질체 수준에서만 기술,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-040,탈세포 뇌 ECM 겔 농도 15 mg/mL,brain dECM hydrogel 15 mg/mL,L1;L3,AX-2;AX-9,E2,SUBST;DOSE,DOI:10.1371/journal.pone.0245685,"돼지 뇌 유래 B-ECM 겔을 여러 농도로 시험해 기계적 지지가 가장 좋은 15 mg/mL을 선택하고 Matrigel과 나란히 뇌 오가노이드를 배양했다. 초기에는 Matrigel군만 신경 발아(budding)를 보였고 B-ECM군은 균일 성장했으나 뇌실 유사 영역은 다수 형성되었으며, 40일차에 형태 차이는 사라지고 NESTIN·TUBB3·DCX·MAP2·GFAP 발현에 유의차가 없었다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),뇌,B-ECM 15 mg/mL; 겔화 지표 t1/2·t95·겔화속도 S (탁도법) 및 G′·G″ (유변계),Matrigel 액적 봉입,형태(발아) 차이가 장기 기능 차이로 이어지는지 미검증,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-041,느린 응력완화(t1/2 ≈18 h),slow stress relaxation (t1/2 ~18 h),L4,AX-3;AX-9,E1,DOSE;SUBST,DOI:10.1002/advs.202004705,"하이드라진-벤즈알데하이드 가교 HELP는 60분간 응력완화가 거의 없고 응력감쇠 반감기 t1/2이 약 18시간인 준탄성 거동을 보였다. 장 오가노이드 형성은 이 느린 완화 조건에서 가장 견고했고, 히드라존 계열로 바꾼 빠른 완화 겔(t1/2 ≈30분)에서는 동일 강성에서도 RGD 요구 역치가 올라갔다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장,"t1/2 ≈18 h (준탄성) vs ≈30 min (점탄성), 유변계 응력완화 시험",빠른 완화 + 높은 RGD,조직·세포별로 '느린 완화가 유리'와 '빠른 완화가 유리'가 엇갈림 — 통일 이론 부재,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-042,빠른 응력완화,fast stress relaxation,L4,AX-3;AX-9,E2,DOSE,DOI:10.1002/advs.202004705;DOI:10.1038/s41467-019-08465-x,동일 강성의 빠른 완화 HELP 겔(t1/2 ≈30분)에서는 장 오가노이드의 RGD 의존성이 커져 0.5~0.75 mM 사이에 더 높은 역치가 필요했다 [전문 확인]. 알지네이트 계에서는 빠른 완화 + 높은 RGD(1500 µM) 조합에서만 세포 부피 팽창이 유의하게 일어났고 낮은 RGD(150 µM)에서는 팽창·신전이 모두 감소했다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장; 중간엽줄기세포(기전 연구),t1/2 ≈30 min; RGD 150 vs 1500 µM,느린 완화 + 낮은 RGD,완화 속도와 리간드 밀도가 교호작용하므로 한쪽만 규정한 사양은 무의미,상,서로 독립된 2편의 전문에서 동일 방향의 제거·치환·농도반응 결과를 확인
N-043,가역 수소결합 기반 동적 재배열,reversible hydrogen-bond dynamic rearrangement,L4,AX-3;AX-4,E2,SUBST,DOI:10.1038/s41563-021-01136-7,"가역적 수소결합으로 동적 재배열하는 합성 하이드로겔군이 응력완화성을 가지며, 장줄기세포 상피의 크립트 출아를 대칭성 파괴와 파네트세포 형성 증가를 통해 촉진하고 이는 YAP1 의존적이라고 초록에 기술되어 있다. 같은 초록은 공유가교 비적응형 겔에서는 조직 팽창이 만드는 과도한 힘이 오가노이드 성장·형태형성을 심하게 제한한다고 명시한다 [본문 미확인 — 초록 범위]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장,정량 근거 없음(초록 범위),DNA 가교 동적 겔; 이민형 동적 공유가교,원논문 본문 미확인 — 완화 시간 상수·강성 수치 서술 불가(R-07) / 원논문 전문 미확보로 치환 실험의 조건·수치를 확인하지 못해 E1에서 E2로 하향(V 감사 반려-007). 전문 확보 시 E1 재검토 대상.,하,원논문 전문 미확보 — 초록에 명시된 범위만 기재(R-07). 실험 조건·수치 미확인 / 초록 범위 근거만으로는 조건부 필수(E1)를 지탱하지 못해 E2로 하향
N-044,DNA 가교 응력완화 프로그래밍,DNA-encoded stress relaxation,L4,AX-3;AX-5,E1,SUBST;OMIT,DOI:10.1038/s41565-023-01483-3,응력완화 가교자(SRC)의 DNA 염기 수를 14 nt에서 18 nt로 바꾸는 것만으로 MDCK 낭포의 정단부-내향 극성이 90±6%로 증가했다. 같은 재료에서 RGD를 뺀 조건은 영양막 오가노이드가 전혀 생기지 않았다. 혈액적합성·세포적합성 평가가 함께 제시되었다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),"전체(검증: 영양막, MDCK, hiPSC, 중간엽기질세포)",SRC 길이 14 nt vs 18 nt; 극성 90±6%,수소결합형 동적 겔; 이민형 동적 공유가교,응력완화 시간 상수 자체의 절대값 범위는 본문 확인 실패,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-045,순수 탄성(비적응형) 겔의 제약,purely elastic (non-adaptable) gel limitation,L4,AX-3,E1,SUBST,DOI:10.1038/s41563-021-01136-7;DOI:10.1002/advs.202200543,공유가교 친수 고분자로 만든 비적응형 겔에서는 조직 팽창이 만드는 과도한 힘이 오가노이드 성장과 형태형성을 심하게 제한한다고 초록에 명시되어 있다 [본문 미확인 — 초록 범위]. 신장 오가노이드에서도 굳고 완화되지 않는 겔은 일부 세포형 소실과 EMT를 유발했다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),전체,정량 근거 없음(초록 범위) + 신장 0.1/3/20 kPa 비교 [측정법: 유변계 진동측정],동적 공유결합·수소결합·DNA 가교 등 적응형 네트워크,'순수 탄성이면 무조건 실패'는 아님 — 알지네이트·비분해성 HA에서 성공 사례 존재,중,"근거 혼합 — 일부는 전문에서 실험 조건 직접 확인, 일부는 초록 범위에 그침"
N-046,이민형 동적 공유가교(느린 vs 빠른 완화),imine-type dynamic covalent crosslink,L4,AX-3;AX-5;AX-9,E1,DOSE,DOI:10.1002/advs.202200543,평형상수(Keq)와 가수분해속도(k−1)가 다른 이민형 동적 공유가교를 써서 강성은 0.1 kPa로 같고 응력완화만 느림/빠름으로 다른 겔 두 종을 만들고 신장 오가노이드를 4일 배양했다. 무르고 응력완화가 있는 조건에서 내강 형태가 개선되고 섬유화·EMT 표지자가 감소했다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),신장,"G′ 0.1 kPa 고정, 응력완화 2수준 (유변계, 주파수 스윕, 평행판)",DNA 가교; 히드라존 가교,완화 시간 상수의 수치가 본문에 제시되지 않아 타 계와 정량 비교 불가,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-047,광유도 국소 점탄성(알릴설파이드 재배열),photo-induced local viscoelasticity (allyl sulfide),L4,AX-3;AX-5,E2,DOSE,DOI:10.1126/sciadv.add5668,"알릴설파이드 결합을 가진 PEG 겔을 LAP 1 mM와 405 nm 레이저(10~90% 출력)로 국소 조사해 결합 재배열을 유도하고, 자성 마이크로바 회전분광법으로 조사 영역의 G′ 변화를 실시간 측정했다. 이를 통해 배양 중인 장 오가노이드 상피의 곡률을 제자리에서 바꿔 크립트 형태형성을 유도했다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장,평형 G′ 1170±150 Pa; LAP 1 mM; 405 nm [측정법: 유변계 진동측정],전역 강성 조절,광조사 자체의 장기 세포 영향(활성산소 등) 정량은 본문 확인 실패,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-048,응력완화 시간 상수 조절 범위,tunable stress-relaxation time constant range,L4,AX-3;AX-5,E2,DOSE,DOI:10.1002/adhm.202101576,"히드라존과 옥심 동적 가교자의 몰비만 바꿔 전단저장탄성률을 10^2~10^3 Pa, 특성 완화시간을 10^2~10^5 s 범위에서 조절했다. 히드라존 100%는 G′ 220±30 Pa, 옥심 100%는 2780±90 Pa였고 0.2 몰당량 치환마다 평균 510±210 Pa씩 증가했다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),전체(재료 공학 기준),"G′ 220±30 ~ 2780±90 Pa; 완화시간 10^2~10^5 s (유변계, 주파수·변형 스윕, 평행판)",DNA 가교; 붕산에스터 가교,이 논문은 섬유아세포 기준이며 오가노이드 형성률 직접 데이터는 아님,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-049,오가노이드 내강 압력(설계 부하 기준),organoid luminal pressure (design load),L4,AX-2;AX-3,E2,DOSE,DOI:10.1002/advs.202102418,"알지네이트 캡슐 내 유방 종양 오가노이드의 내강 압력을 후벽 압력용기(TWPV) 모델로 해석했고, 내강 성장에 따라 압력이 증가해 2주 배양 후 2 kPa에 도달했다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),유방 종양(참고); 설계 기준,내강 압력 최대 약 2 kPa (2주) [측정법: 원문에 측정법이 명시되지 않아 확인 실패 — 수치를 다른 측정법 값과 직접 비교하지 말 것],해당 없음(부하 기준값),지지체 강성이 이 내압보다 크면 성장이 제한된다는 직접 인과 실험은 확보 실패,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-050,MMP 감수성 가교 펩타이드,MMP-sensitive crosslinking peptide,L5,AX-4;AX-9,E1,SUBST;REVIEW,DOI:10.1038/s41563-021-01085-1;DOI:10.1063/1.5045124,"8-arm PEG-VS를 MMP 감수성 펩타이드로 가교해 췌장암 오가노이드·기질세포를 배양했고, 접착 펩타이드 3종 조합(CBF-0.5)과 결합해 오가노이드 형성이 성립했다 [전문 확인]. 인간 장 오가노이드용 PEG-MAL 계에서도 단백질분해 감수성 가교와 비감수성 가교를 각각 사용해 비교하는 설계가 보고되었다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),췌장; 장,MMP 감수성 디티올 펩타이드 가교(농도는 CBF-0.5 조성 기준),비분해성 디티올(DTT) 가교와 혼합해 분해속도 조절,분해성 유무만 바꾼 형성률 정량 비교는 본 자료 범위 내에서 확보 실패 / 근거 중 총설 포함(10.1063/1.5045124) — 해당 부분은 원저의 1차 실험 근거가 아님.,중,서로 독립된 2편의 전문에서 동일 방향의 제거·치환·농도반응 결과를 확인 / 교차 근거 중 10.1063/1.5045124은(는) 총설이므로 독립 실험 근거로 계수하지 않음 → '중'으로 하향(X 레드팀 X-007)
N-051,세포 분비 MMP 활성(기도 분화),epithelial MMP activity (airway differentiation),L5,AX-4;AX-9,E1,OMIT,DOI:10.1038/s41467-023-44488-1,"인간 정단면-외향 비강 오가노이드에 10일차부터 MMP 저해제 actinonin을 처리하자 17일·24일차 MMP 활성이 유의하게 감소했고, 분화기 동안 구형 전환이 억제되어 분지 구조가 유지되는 등 정상 점액섬모 분화가 저해되었다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),폐/기도(비강 상피),"actinonin 처리(농도는 본문 방법부 기준), 10일차부터",없음(세포 자체 활성이므로 물질 대체 불가),저해제의 표적 외 효과 배제 실험은 본문에서 확인 실패,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-052,MMP13 / MMP14 활성(피부 오가노이드 융합),MMP13 / MMP14 activity (skin organoid coalescence),L5,AX-4;AX-9,E1,OMIT,DOI:10.1073/pnas.2221982120,"피부 오가노이드에서 MMP9·13·14가 기저층에 비대칭 발현했고, 광범위 저해제 Prinomastat 처리로 4일차 융합이 유의하게 차단되었다. MMP13 선택적 저해제(WAY 170523)나 MMP2/9/14 저해제(Marimastat) 처리도 라미닌 양성 기저막 분해를 지연시키고 4·7일차 융합을 막았으며, 반대로 재조합 MMP13·MMP14 첨가는 융합을 가속했다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),피부(참고 조직),정량 근거 없음(융합률·운동성 비교),없음,저해제 실험이며 유전자 수준 검증은 본문에서 확인 실패,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-053,비분해성 배경에서도 형성 가능,organoid formation in non-degradable matrix,L5,AX-4;AX-9,E3,OMIT,DOI:10.1016/j.stemcr.2018.12.001,"알지네이트는 프로테아제로 분해되지 않지만 hPSC 유래 장 오가노이드를 30일까지 계대 없이 배양할 수 있었고, 90일 이상 주요 표지자 발현 감소 없이 유지되었다. 저자들은 PEG-4MAL+RGD+GPQ-W(분해성) 대조에서도 알지네이트 저수율의 원인이 접착 결핍인지 분해성 결핍인지 결론내지 못했다고 명시했다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장(hPSC 유래 HIO),"알지네이트 1~2% w/v; 30일 무계대, 90일 이상 유지",분해성 PEG-4MAL 겔,분해성 결핍이 수율 저하의 원인인지 미결 — 저자 스스로 결론 보류,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-054,분해 비의존적 형태형성,degradation-independent organogenesis,L5,AX-4,E3,SUBST,DOI:10.1038/s41563-021-01136-7,"초록은 화학적·효소적 분해 기법이 탄성 겔의 팽창 제약을 부분적으로만 완화하고 비가역적이어서 장기 적용이 제한된다고 기술하며, 가역적 수소결합에 의한 동적 재배열로 분해에 의존하지 않는 광범위한 형태형성을 달성했다고 명시한다 [본문 미확인 — 초록 범위]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장,정량 근거 없음(초록 범위),MMP 감수성 가교 도입,원논문 본문 미확인 — 분해성/비분해성 대조군의 정량 비교 서술 불가(R-07). AX-4 최대 쟁점,하,원논문 전문 미확보 — 초록에 명시된 범위만 기재(R-07). 실험 조건·수치 미확인
N-055,플라스민 감수성 vs D-이성질체 비분해성 가교,plasmin-sensitive vs D-isomer non-degradable crosslinker,L5,AX-4;AX-9,E1,SUBST;OMIT,DOI:10.1016/j.bioactmat.2023.10.001,"PEG를 빠른 분해(YKNR), 느린 분해(YKNS), 비분해(D-이성질체 YKDNSD) 플라스민 감수성 가교자로 각각 가교해 난포를 배양했다(기본은 YKNS:YKNR 1:1). 별도로 MMP 저해제 marimastat 0.5 µM를 투여한 조건을 두었다. RGD와 포집 ECM이 모두 없는 대조 겔에서는 18일 후 난자 생존율이 4.8±0.6%에 그쳤다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),난소(참고 조직),"가교자 3종(빠름/느림/비분해), marimastat 0.5 µM; 겔 탄성률 13.6 kPa → 18일 후 1.9 kPa [측정법: 원문에 측정법이 명시되지 않아 확인 실패 — 수치를 다른 측정법 값과 직접 비교하지 말 것]",MMP 감수성 가교; 세포 매개 분해성 알지네이트,오가노이드가 아닌 난포 배양 — 상피 오가노이드로의 외삽은 미검증,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-056,효소 분해성(계대 가능성 요건),enzymatic degradability for passaging,L5,AX-4;AX-7,E1,OMIT,DOI:10.1002/advs.202004705,HELP 매트릭스를 엘라스타아제와 히알루로니다아제로 효소 분해한 뒤 트립신으로 단세포화하고 새 HELP에 재봉입하는 방식으로 12계대까지 형태 변화 없이 엔테로이드를 재형성했다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장,12계대 연속 배양,저온 가역 졸-겔(PIC); 킬레이트 기반 회수,효소 처리가 세포 표면 단백질에 주는 손상 정량은 본문 확인 실패,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
