material_id,name_ko,name_en,synonyms,layer,function_role,ecm_counterpart,essentiality,evidence_ref,patent_ref,supplier,catalog_no,grade,origin,spec,price,alternatives,risk,confidence,confidence_reason
C-L1-030,트롬빈(소 혈장 유래),"Thrombin, bovine plasma",coagulation factor IIa; 트롬빈,L1,피브리노겐을 절단해 피브린 단량체를 생성시키는 가교 개시 효소,응고 캐스케이드 효소,조건부,DOI:10.3791/66795,없음(특허 조사는 본 산출물 범위 외),Sigma-Aldrich (Merck),T4648,연구용,동물,"동결건조 분말, 소 혈장 유래, 피브린 젤 형성용 통상 0.5~2 U/mL 사용",공개 카탈로그 가격 미표시(확인일 2026-09-14),인간 트롬빈 제제; 재조합 트롬빈,소 혈장 유래로 이종 단백질 도입; 농도에 따라 겔화 속도가 급변해 세포 분포 불균일 유발,중,"Sigma 카탈로그에서 품번·유래를 확인했으나 공개 규격 상세는 제한적이었고, 피브린 하이드로젤 흉선 오가노이드 논문으로 용도 근거 확보"
C-L1-031,실크 피브로인 용액,Silk fibroin solution,Bombyx mori fibroin; 피브로인,L1,β-시트 결정 영역을 통한 물리적 가교로 분해가 느린 섬유성 3D 스캐폴드를 형성,콜라겐 대체 섬유성 구조 단백질(비포유류),선택,DOI:10.1016/s0142-9612(02)00156-4,없음(특허 조사는 본 산출물 범위 외),Advanced BioMatrix(Sigma-Aldrich 병행 유통),5154,연구용,동물,"50 mg/mL(5% w/v) 수용액, 20 mL, 가잠(Bombyx mori) 유래 100% 피브로인, 분자량 약 100 kDa, 무균 아님(저 bioburden)",공개 카탈로그 가격 미표시(확인일 2026-09-14),실크-엘라스틴 공중합체; GelMA,세포 접착 모티프가 없어 RGD 등 별도 기능화 필요; 멸균 제품이 아니어서 여과 멸균 공정 요구,중,"Advanced BioMatrix 및 Sigma 제품 페이지에서 품번·농도·유래·무균 여부까지 확인, 실크 기질 조직공학 논문으로 재료 근거 확보"
C-L1-032,가용성 엘라스틴(소 목인대 유래),"Soluble elastin, bovine neck ligament",α-elastin; soluble elastin,L1,탄성섬유의 가용화 단편으로 탄성·세포 신호(엘라스틴 수용체) 제공,탄성섬유(엘라스틴),선택,DOI:10.1016/j.jsb.2004.11.005,없음(특허 조사는 본 산출물 범위 외),Sigma-Aldrich (Merck),E6527,연구용,동물,"염 제거 동결건조 분말, 소 목인대 유래, CAS 9007-58-3, 1 g 포장",공개 카탈로그 가격 미표시(확인일 2026-09-14),Elastin Products Company ES61/ES70; 재조합 엘라스틴 유사 폴리펩타이드,가용화 과정에서 천연 가교(desmosine) 구조가 파괴되어 탄성 회복 특성이 제한적; 소 유래,중,"Sigma 제품 페이지에서 품번·형태·CAS 확인, 엘라스틴 조립 모델 논문으로 재료 근거 확보"
C-L1-033,엘라스틴 유사 폴리펩타이드/리콤비나머(ELP/ELR),Elastin-like polypeptide / recombinamer (ELP/ELR),ELP; ELR; (VPGXG)n 반복 폴리펩타이드,L1,"(VPGXG)n 반복서열이 전이온도 이상에서 상전이 응집을 일으켜 온도 감응 겔화를 하며, RGD 등 세포 신호를 유전자 수준에서 삽입 가능",엘라스틴 유래 탄성·신호 도메인,선택,DOI:10.1002/advs.202004705,없음(특허 조사는 본 산출물 범위 외),"Technical Proteins Nanobiotechnology (TPNBT, 스페인 Valladolid)","공개 웹 카탈로그에 개별 품번·가격 미게시, 견적 문의 방식(확인일 2026-09-14)",연구용,인간 재조합,"대장균 발현 고분자량 재조합 엘라스틴 유사 단백질 폴리머, 세포 접착 서열·자극 감응 블록을 주문 설계",공개 카탈로그 가격 미표시(확인일 2026-09-14),Sigma E6527(가용성 엘라스틴); 자체 대장균 발현 ELP,공개 품번·가격이 없어 조달이 견적 기반이며 리드타임 예측 곤란; 로트별 분자량 편차,중,"TPNBT 공식 카탈로그 페이지에서 제품군과 주문 방식(견적 문의)은 확인했으나 개별 품번·가격은 비공개였고, ELP 기반 매트릭스의 환자 유래 장 오가노이드 배양 논문으로 용도 근거 확보"
C-L1-034,"기저막추출물(EHS 종양 유래, 성장인자 저감형)","Basement membrane matrix, growth factor reduced (EHS-derived)",Matrigel GFR; BME; 기저막 매트릭스,L1,"라미닌-111, IV형 콜라겐, 니도젠, 퍼레칸과 잔존 성장인자가 혼합된 가용화 기저막으로 37 ℃에서 재구성 기저막 겔을 형성",기저막 전체(라미닌+IV형 콜라겐+니도젠+HSPG),필수,DOI:10.1016/j.addr.2014.06.005,없음(특허 조사는 본 산출물 범위 외),Corning Life Sciences,"354230 (10 mL, LDEV-free) / 356231 (페놀레드 무첨가)",연구용,동물,"10 mL/병, 마우스 EHS 육종 유래 가용화 기저막, 성장인자 저감형, LDEV-free","USD 541.00 / 10 mL (2026-09-14 확인, VWR 표시가)",R&D Cultrex RGF BME Type 2 (3533-010-02); 합성 PEG 하이드로젤,"마우스 종양 유래로 조성이 정의되지 않고 로트 간 강성·성장인자 함량 편차가 크며, 임상 전환 시 이종 물질 규제 장벽이 결정적",상,"Corning eCatalog·VWR에서 품번·규격·표시가를 확인, Matrigel 조성과 한계를 정리한 리뷰로 물질 근거 확보"
C-L1-035,기저막추출물(Cultrex RGF BME Type 2),"Cultrex Reduced Growth Factor BME, Type 2",Cultrex RGF BME Type 2; Pathclear BME,L1,오가노이드 확립·확장에 적격성 시험을 거친 기저막추출물로 Matrigel의 주 대체 공급원,기저막 전체,필수,DOI:10.1038/s41578-020-0199-8,없음(특허 조사는 본 산출물 범위 외),R&D Systems (Bio-Techne),3533-010-02 (Pathclear) / 3536-005-02 (Select),연구용,동물,"EHS 종양 유래 가용화 기저막, 37 ℃ 겔화, 라미닌·IV형 콜라겐·엔탁틴·HSPG 주성분, 오가노이드 적격성 시험 완료",공개 카탈로그 가격 미표시(확인일 2026-09-14),Corning Matrigel GFR 354230; 합성 대체재,Matrigel과 동일한 EHS 종양 유래 한계 공유 — 공급사를 바꿔도 이종 유래·조성 미정의 문제는 해소되지 않음,상,"R&D Systems 공식 제품 페이지에서 품번·유래·오가노이드 적격성 표기를 확인, Matrigel 합성 대체재 리뷰로 대체 전략 근거 확보"
C-L2-001,저분자량 히알루론산(21~40 kDa),Sodium hyaluronate (21K-40K Da),HA; 히알루로난; sodium hyaluronate,L2,저분자량 단편은 CD44/TLR 경로를 자극해 염증·혈관신생 신호로 작용 — 분자량 등급이 생물학적 효과를 결정하므로 등급 표기가 필수,간질 및 뇌 ECM의 히알루론산,조건부,DOI:10.1002/adhm.202402199,없음(특허 조사는 본 산출물 범위 외),Lifecore Biomedical,HA20K-1,연구용;의약품제조,미생물,"미생물 발효 생산 히알루론산 나트륨 분말, 평균 분자량 21K-40K Da, 1 g 포장",USD 210 / 1 g (2026-09-14 확인),Sigma-Aldrich 히알루론산 나트륨; Contipro 등급별 HA,분자량 등급을 혼용하면 점탄성과 CD44 신호가 동시에 바뀌어 실험 재현성이 무너짐; 주문당 취급 수수료 별도,상,"Lifecore 공식 연구용 카탈로그에서 품번·분자량 구간·1 g 가격을 표로 직접 확인, HA 하이드로젤 점탄성이 척수 오가노이드 패터닝을 조절한 논문으로 근거 확보 / 동일 물질의 제품 간 등급 역전을 해소(물질 단위 부여, 반려-005 반영)"
C-L2-002,중분자량 히알루론산(100~185 kDa),Sodium hyaluronate (100K-185K Da),HA; 히알루로난; sodium hyaluronate,L2,점탄성 기재 및 화학 개질 출발물질로 가장 널리 쓰이는 분자량대 — 분자량 등급이 생물학적 효과를 결정하므로 등급 표기가 필수,간질 및 뇌 ECM의 히알루론산,조건부,DOI:10.1002/adhm.202402199,없음(특허 조사는 본 산출물 범위 외),Lifecore Biomedical,HA100K-1,연구용;의약품제조,미생물,"미생물 발효 생산 히알루론산 나트륨 분말, 평균 분자량 100K-185K Da, 1 g 포장",USD 210 / 1 g (2026-09-14 확인),Sigma-Aldrich 히알루론산 나트륨; Contipro 등급별 HA,분자량 등급을 혼용하면 점탄성과 CD44 신호가 동시에 바뀌어 실험 재현성이 무너짐; 주문당 취급 수수료 별도,상,"Lifecore 공식 연구용 카탈로그에서 품번·분자량 구간·1 g 가격을 표로 직접 확인, HA 하이드로젤 점탄성이 척수 오가노이드 패터닝을 조절한 논문으로 근거 확보"
C-L2-003,고분자량 히알루론산(1.01~1.8 MDa),Sodium hyaluronate (1.01M-1.80M Da),HA; 히알루로난; sodium hyaluronate,L2,저농도에서도 높은 점도와 응력완화를 부여하는 고분자량 등급 — 분자량 등급이 생물학적 효과를 결정하므로 등급 표기가 필수,간질 및 뇌 ECM의 히알루론산,조건부,DOI:10.1002/adhm.202402199,없음(특허 조사는 본 산출물 범위 외),Lifecore Biomedical,HA15M-1,연구용;의약품제조,미생물,"미생물 발효 생산 히알루론산 나트륨 분말, 평균 분자량 1.01M-1.80M Da, 1 g 포장",USD 150 / 1 g (2026-09-14 확인),Sigma-Aldrich 히알루론산 나트륨; Contipro 등급별 HA,분자량 등급을 혼용하면 점탄성과 CD44 신호가 동시에 바뀌어 실험 재현성이 무너짐; 주문당 취급 수수료 별도,상,"Lifecore 공식 연구용 카탈로그에서 품번·분자량 구간·1 g 가격을 표로 직접 확인, HA 하이드로젤 점탄성이 척수 오가노이드 패터닝을 조절한 논문으로 근거 확보"
C-L2-004,티올화 히알루론산,Thiol-modified hyaluronan,Glycosil; thiolated HA; HyStem 구성요소; 통합: 티올화 히알루론산,L2,"HA 카복실기에 티올기를 도입해 PEGDA 등 아크릴레이트와 마이클 부가 가교를 이루는 정의된 3D 배양 겔 기재 [L7 하이브리드 백본으로도 분류 가능(중복 등재 통합, 구 ID D-L7-023)]",히알루론산 기반 인공 간질 기질,조건부,DOI:10.1097/brs.0b013e3181e7b705,없음(특허 조사는 본 산출물 범위 외),Advanced BioMatrix,GS220 (5 mL) / GS222 / GS220F-2EA / HyStem 제품군(정확한 품번은 제조사 페이지 HTTP 403으로 확인 실패),연구용,미생물,"동결건조 티올화 히알루론산 나트륨, 1 mL 바이알당 10 mg 또는 5 mL 바이알당 50 mg","USD 432.00 / 2 × 5 mL (2026-09-14 확인, Fisher Scientific GS220F2EA)",PhotoHA #5212(메타크릴레이트화 HA); 자체 티올화 HA,티올기가 산화되어 이황화 결합을 이루면 가교 효율이 떨어지므로 개봉 후 즉시 사용·질소 충전 보관 필요,상,"제조사 제품 페이지와 사용설명서에서 품번·함량을, Fisher Scientific에서 표시가를 확인"
C-L2-005,메타크릴레이트화 히알루론산(HAMA),Methacrylated hyaluronic acid (HAMA),PhotoHA; HAMA; HA methacrylate; 통합: 메타크릴화 히알루론산 전구체 (HAMA),L2,"광개시제와 함께 자외선/가시광 가교로 강성을 단계적으로 조절하는 HA 하이드로젤 기재 [L6 광가교 전구체로도 분류 가능(중복 등재 통합, 구 ID D-L6-020)]",히알루론산 기반 인공 간질 기질,조건부,DOI:10.1016/j.actbio.2022.06.036,없음(특허 조사는 본 산출물 범위 외),Advanced BioMatrix,"5212 (PhotoHA-Stiff) / PhotoHA-Soft / PhotoHA-Stiff (HAMA) / PhotoHA-Soft (GM-HA), 카탈로그 5212 계열",연구용,미생물,"동결건조 메타크릴레이트화 히알루론산 100 mg, 농도·광조사량 조절로 강성 가변",공개 카탈로그 가격 미표시(확인일 2026-09-14),Glycosil GS220(티올화 HA); Sigma HA 메타크릴레이트,"광개시제 잔류 및 자외선 노출로 세포 생존율이 저하될 수 있고, 치환도 편차가 강성에 직접 반영",상,"제조사 제품 페이지에서 품번·포장량·강성 등급(Stiff/Soft) 확인, HAMA/췌장 dECM 바이오잉크 췌도 오가노이드 논문으로 용도 근거 확보"
C-L2-006,헤파린 나트륨,Heparin sodium,unfractionated heparin; 헤파린,L2,최고도로 황산화된 GAG로 FGF2·VEGF 등 헤파린 결합 성장인자를 포획·안정화해 매트릭스 내 성장인자 저장고를 형성,헤파란황산의 고황산화 유사체,조건부,DOI:10.1016/0092-8674(94)90032-9,없음(특허 조사는 본 산출물 범위 외),Sigma-Aldrich (Merck),H3149,의약품제조;연구용,동물,"돼지 장 점막 유래 Grade I-A 분말, BioReagent, CAS 9041-08-1, 50 kU/100 kU 포장",공개 카탈로그 가격 미표시(확인일 2026-09-14),Sigma H7640(헤파란황산); Iduron 정제 헤파란황산 분획,"돼지 유래 원료의 공급망 리스크와 오염 이력이 있으며, 강한 항응고 활성이 일부 배양계에서 교란 요인",상,"Sigma 제품 페이지에서 품번·등급·유래 확인, 헤파린 유도 FGF 이량체화 논문으로 성장인자 결합 기전 근거 확보"
C-L2-007,헤파란황산(소 신장 유래),"Heparan sulfate, bovine kidney",HS; 헤파란황산,L2,기저막 HSPG의 당사슬 본체로 FGF2와 FGFR의 삼원 복합체 형성을 매개하고 성장인자를 단백분해로부터 보호,기저막·세포표면 헤파란황산,조건부,DOI:10.1126/science.1646484,없음(특허 조사는 본 산출물 범위 외),Sigma-Aldrich (Merck),H7640,연구용,동물,"헤파란황산 나트륨염, 소 신장 유래, CAS 57459-72-0",공개 카탈로그 가격 미표시(확인일 2026-09-14),Iduron 돼지 점막 유래 고정제 HS 분획; 합성 HS 유사 올리고당,조직 유래 HS는 황산화 패턴이 로트마다 달라 성장인자 결합능이 변동; 소 유래 규제 문서 필요,상,"Sigma 제품 페이지에서 품번·유래·CAS 확인, 헤파란황산이 bFGF 매개 증식에 필수임을 보인 Science 논문으로 기전 근거 확보"
C-L2-008,헤파란황산 정제 분획(돼지 점막),"Heparan sulfate, purified fractions",HS fractions; Iduron HS,L2,황산화도가 규정된 분획으로 성장인자 결합 실험의 재현성을 확보,기저막 헤파란황산,선택,DOI:10.1016/s0021-9258(19)50023-0,없음(특허 조사는 본 산출물 범위 외),Iduron Ltd. (영국 Cheshire),"공개 웹 카탈로그에 개별 품번·가격 미표시, 문의 기반 판매(확인일 2026-09-14)",연구용,동물,"돼지 점막 유래 고순도 헤파란황산 분획, 이당 표준품과 함께 공급",공개 카탈로그 가격 미표시(확인일 2026-09-14),Sigma H7640; 화학효소 합성 HS 올리고당,소규모 전문 공급사로 단일 공급원 의존 리스크; 공개 품번 체계 부재,중,Iduron 공식 사이트에서 제품군(고순도 HS 분획·이당 표준품)과 공급 형태는 확인했으나 개별 품번·가격은 비공개
C-L2-009,콘드로이틴황산 A,Chondroitin sulfate A,CS-A; chondroitin 4-sulfate,L2,음전하 밀도로 수분을 포획해 압축 저항성을 부여하고 어그리칸 등 프로테오글리칸의 당사슬을 구성,연골·간질 ECM의 콘드로이틴황산,선택,DOI:10.1096/fj.05-4682rev,없음(특허 조사는 본 산출물 범위 외),Sigma-Aldrich (Merck),C9819,연구용,동물,"소 기관(trachea) 유래 콘드로이틴황산 A 나트륨염, 동결건조 분말, BioReagent, 세포배양 적합, 25 g 포장",공개 카탈로그 가격 미표시(확인일 2026-09-14),Sigma C3788(더마탄황산); 재조합/합성 CS,소 유래 원료 규제 문서 필요; 이성질체(4-/6-황산화) 혼합비가 로트마다 다름,상,"Sigma 제품 페이지에서 품번·유래·등급 확인, GAG와 프로테오글리칸의 기능을 다룬 FASEB 리뷰로 기능 근거 확보"
C-L2-010,더마탄황산(콘드로이틴황산 B),Dermatan sulfate (chondroitin sulfate B),DS; CS-B; 더마탄황산,L2,이두론산을 포함해 사슬 유연성이 높고 콜라겐 세섬유 직경 조절 및 성장인자 결합에 관여,진피·혈관 간질의 더마탄황산,선택,DOI:10.1096/fj.05-4682rev,없음(특허 조사는 본 산출물 범위 외),Sigma-Aldrich (Merck),C3788,연구용,동물,"돼지 장 점막 유래, ≥90%, 동결건조 분말, CAS 54328-33-5",공개 카탈로그 가격 미표시(확인일 2026-09-14),Sigma C9819(콘드로이틴황산 A); Iduron GAG 분획,돼지 유래 원료 공급 리스크; 콘드로이틴황산 A와의 교차 오염 가능,중,"Sigma 제품 페이지에서 품번·유래·순도·CAS 확인, GAG 리뷰로 기능 근거 확보하였으나 오가노이드 직접 적용 논문은 문헌 풀에 부재"
C-L2-011,"알지네이트(고굴루론산형, 중점도)","Sodium alginate, high-G, medium viscosity",PRONOVA UP MVG; high-guluronate alginate,L2,"G-블록이 Ca2+와 egg-box 구조를 이뤄 즉시 이온 겔화하며, 세포 접착 리간드가 없어 순수 물리 신호만 부여하는 비접착성 매트릭스",포유류 ECM에 상동체 없음(해조 다당 기반 인공 기질),조건부,DOI:10.1016/j.stemcr.2018.12.001,없음(특허 조사는 본 산출물 범위 외),"NovaMatrix (IFF N&H Norway AS), Sigma-Aldrich 병행 유통",Sigma 42000101 / NovaMatrix PRONOVA UP MVG,의료기기;연구용,식물,"점도 >200 mPa·s(1%, 20 ℃), 굴루론산 단량체 ≥60%, 초순도 등급, g 단위 판매(최소 10 g)",공개 카탈로그 가격 미표시(확인일 2026-09-14),"PRONOVA UP LVG(Sigma 42000001, 저점도); UP MVM(고만누론산형)","세포 접착 모티프가 없어 RGD 접합 없이는 상피 부착이 일어나지 않으며, Ca2+ 킬레이션으로 배지 중 서서히 겔이 약화",상,"Sigma 및 NovaMatrix 공식 제품 페이지에서 품번·점도·G 함량·판매 단위를 확인, 비접착성 알지네이트가 다능성줄기세포 유래 장 오가노이드를 지지한 논문으로 근거 확보"
C-L2-012,"알지네이트(고굴루론산형, 저점도)","Sodium alginate, high-G, low viscosity",PRONOVA UP LVG,L2,저점도로 세포 혼합·미세유체 액적화가 용이한 고G 알지네이트,해조 다당 기반 인공 기질,조건부,DOI:10.1002/advs.201903739,없음(특허 조사는 본 산출물 범위 외),"NovaMatrix (IFF), Sigma-Aldrich 병행 유통",Sigma 42000001 / PRONOVA UP LVG,의료기기;연구용,식물,"점도 20~200 mPa·s(1%, 20 ℃), 굴루론산 단량체 ≥60%, 초순도 등급",공개 카탈로그 가격 미표시(확인일 2026-09-14),UP MVG(중점도); 기타 초순도 알지네이트,저점도로 겔 강성이 낮아 장기 배양 시 구조 유지가 어려움,상,"Sigma 공식 제품 페이지에서 품번·점도 범위·G 함량 확인, 액적 미세유체 하이브리드 캡슐 오가노이드 논문으로 용도 근거 확보 / 동일 물질의 제품 간 등급 역전을 해소(물질 단위 부여, 반려-005 반영)"
C-L2-013,알지네이트(고만누론산형),"Sodium alginate, high-M",PRONOVA UP MVM; high-mannuronate alginate,L2,M-블록 우세 조성으로 겔이 더 유연하고 응력완화가 빨라 점탄성 매트릭스 설계에 사용,해조 다당 기반 인공 기질,조건부,DOI:10.1016/j.biomaterials.2021.120976,없음(특허 조사는 본 산출물 범위 외),NovaMatrix (IFF N&H Norway AS),PRONOVA UP MVM,의료기기;연구용,식물,"점도 >200 mPa·s(1%, 20 ℃), 만누론산 단량체 ≥50%, 초순도 등급, g 단위 판매(최소 10 g)",공개 카탈로그 가격 미표시(확인일 2026-09-14),PRONOVA UP MVG(고G형); 티올-엔 가교 알지네이트,고M형은 겔 강도가 낮아 단독 3D 지지에는 부적합하며 면역원성 논쟁 이력 존재,중,"NovaMatrix 공식 스토어에서 품번·점도·M 함량·판매 단위 확인, 티올-엔 가교 알지네이트 신장 오가노이드 논문으로 용도 근거 확보 / 동일 물질의 제품 간 등급 역전을 해소(물질 단위 부여, 반려-005 반영)"
C-L2-014,키토산(중분자량),"Chitosan, medium molecular weight",deacetylated chitin; poly(D-glucosamine),L2,양전하 아미노기를 통해 음전하 GAG·세포막과 정전 상호작용하는 다당으로 복합 겔·나노입자 기재,포유류 ECM에 상동체 없음(갑각 유래 다당),선택,DOI:10.3390/md19050282,없음(특허 조사는 본 산출물 범위 외),Sigma-Aldrich (Merck),448877,연구용,동물,"분자량 190,000~310,000 Da, CAS 9012-76-4, 분말",공개 카탈로그 가격 미표시(확인일 2026-09-14),"Sigma 448869(저분자량 50,000~190,000 Da); Sigma 419419(고분자량)","중성 pH에서 불용이라 산성 용해가 필요하고, 잔류 산이 세포 독성을 유발; 갑각류 유래 알레르겐 이슈",중,"Sigma 제품 페이지에서 품번·분자량 구간·CAS 확인, 알지네이트/키토산 매개 나노입자의 장 오가노이드 평가 논문으로 용도 근거 확보"
C-L2-015,키토산(저분자량),"Chitosan, low molecular weight",deacetylated chitin (LMW),L2,저점도로 용해·가공이 쉬운 키토산 등급,갑각 유래 다당,선택,DOI:10.3390/md19050282,없음(특허 조사는 본 산출물 범위 외),Sigma-Aldrich (Merck),448869,연구용,동물,"분자량 약 50,000~190,000 Da(점도 기준), CAS 9012-76-4, 1 M 아세트산에 10 mg/mL 현탁 가능",공개 카탈로그 가격 미표시(확인일 2026-09-14),Sigma 448877(중분자량),중성 pH 불용성 및 산 잔류 독성 문제는 동일; 완전 용해에 장시간 초음파 필요,중,"Sigma 제품 페이지에서 품번·분자량·용해 조건 확인, 동일 오가노이드 논문으로 용도 근거 확보"
C-L2-016,나노피브릴 셀룰로스 하이드로젤,Nanofibrillar cellulose (NFC) hydrogel,GrowDex; nanocellulose; 나노셀룰로스,L2,자작나무 펄프에서 얻은 나노섬유가 물리적으로 얽혀 전단희석성 겔을 형성하며 동물 유래 성분이 전혀 없는 3D 지지체,포유류 ECM에 상동체 없음(식물 다당 기반 인공 기질),조건부,DOI:10.1002/advs.202002135,없음(특허 조사는 본 산출물 범위 외),UPM Biomedicals,"GrowDex(원본 1.5% w/v) / GrowDex-T(1.0% w/v, 투명) / GrowDex-A(아비딘 기능화)",연구용,식물,"자작나무 유래 나노피브릴 셀룰로스 수성 겔, 멸균 공급, 5 mL 등 포장, 셀룰라아제(GrowDase)로 회수",공개 카탈로그 가격 미표시(확인일 2026-09-14),알지네이트; 합성 PEG 하이드로젤,"셀룰로스는 포유류가 분해하지 못해 세포 매개 리모델링이 불가하고, 세포 접착 리간드가 없어 별도 기능화 필요",중,UPM Biomedicals 및 유통사 페이지에서 제품군·농도·유래를 확인했으나 공식 페이지 직접 접속은 리다이렉트로 실패했고 품번·가격은 미확인; 장 오가노이드 적용 논문(Curvello)으로 용도 근거 확보
C-L3-001,퍼레칸(기저막 헤파란황산 프로테오글리칸),Perlecan / basement membrane HSPG,HSPG2; perlecan; 기저막 프로테오글리칸,L3,코어 단백질에 헤파란황산 사슬 3개가 부착된 대형 프로테오글리칸으로 라미닌·IV형 콜라겐·FGF7 등을 가교하고 bFGF를 저장·제시,기저막 퍼레칸,조건부,DOI:10.1016/0092-8674(94)90031-0,없음(특허 조사는 본 산출물 범위 외),Sigma-Aldrich (Merck),H4777,연구용,동물,"마우스 EHS 육종 기저막 유래, 용액(50 mM Tris-HCl pH 7.4, 150 mM NaCl, 1 mM EDTA, 0.1 mM PMSF), 단백질 ≥400 µg/mL, -20 ℃ 보관",공개 카탈로그 가격 미표시(확인일 2026-09-14),재조합 퍼레칸 도메인 단편; 헤파란황산 + 라미닌 조합,마우스 종양 유래로 이종 단백질이며 대형 단백질 특성상 정제 수율이 낮아 고가; 소량 포장,상,"Sigma 제품 페이지와 데이터시트에서 품번·유래·완충액 조성·단백질 농도를 확인, 퍼레칸이 bFGF-수용체 결합과 혈관신생을 촉진함을 보인 Cell 논문으로 기능 근거 확보"
C-L3-002,니도젠-1(엔탁틴),Nidogen-1 / Entactin,NID1; entactin-1,L3,라미닌 γ1 사슬과 IV형 콜라겐을 동시에 결합해 두 격자를 물리적으로 연결하는 기저막 가교 분자,기저막 니도젠-1,조건부,DOI:10.1128/jvi.01718-22,없음(특허 조사는 본 산출물 범위 외),R&D Systems (Bio-Techne),2570-ND,연구용,인간 재조합,"NS0/CHO 발현 재조합 인간 니도젠-1, CF(carrier-free), 50 µg 포장",공개 카탈로그 가격 미표시(확인일 2026-09-14),Corning 354259(라미닌/니도젠 복합체),단독 첨가 시 라미닌 격자가 이미 형성된 뒤에는 가교 효과가 제한적,상,"R&D Systems 공식 제품 페이지에서 품번·형태를 확인, 뇌 오가노이드에서 니도젠-1 감소가 신경 로제트 발생을 저해함을 보인 논문으로 필요성 근거 확보"
C-L3-003,니도젠-2,Nidogen-2,NID2; osteonidogen,L3,니도젠-1과 부분 중복 기능을 가지며 기저막 안정화에 기여하는 두 번째 엔탁틴 계열 분자,기저막 니도젠-2,선택,DOI:10.7554/elife.73486,없음(특허 조사는 본 산출물 범위 외),R&D Systems (Bio-Techne),3385-ND-050,연구용,인간 재조합,"재조합 인간 니도젠-2, CF, 50 µg 포장",공개 카탈로그 가격 미표시(확인일 2026-09-14),R&D 2570-ND(니도젠-1),니도젠-1과의 기능 중복으로 단독 첨가의 이득이 명확히 입증되지 않음,중,"R&D Systems 공식 제품 페이지에서 품번 확인, 근거 문헌은 신장 오가노이드의 기저막 조립 전반을 다룬 논문으로 니도젠-2 단독 효과를 직접 입증한 것은 아님"
C-L3-004,데코린,Decorin,DCN; PG40; PGS2,L3,소형 류신 반복 프로테오글리칸(SLRP)으로 콜라겐 세섬유에 결합해 직경을 제한하고 TGF-β를 격리해 섬유화를 억제,간질 ECM의 데코린,선택,DOI:10.1096/fasebj.6.3.1740236,없음(특허 조사는 본 산출물 범위 외),R&D Systems (Bio-Techne),143-DE,연구용,인간 재조합,"재조합 인간 데코린, CF, 100 µg 포장",공개 카탈로그 가격 미표시(확인일 2026-09-14),바이글리칸(2667-CM); TGF-β 중화항체,근거 문헌이 프로테오글리칸 총론이어서 오가노이드 맥락의 직접 근거가 약함,중,"R&D Systems 공식 제품 페이지에서 품번·포장을 확인, 근거는 데코린을 포함한 프로테오글리칸 총론 리뷰로 기능은 뒷받침되나 오가노이드 특이 논문은 문헌 풀에 부재"
C-L3-005,바이글리칸,Biglycan,BGN; PG-I,L3,데코린과 같은 class I SLRP로 콘드로이틴/더마탄황산 사슬 2개를 갖고 콜라겐 조립과 선천면역 신호에 관여,간질 ECM의 바이글리칸,선택,DOI:10.1096/fasebj.6.3.1740236,없음(특허 조사는 본 산출물 범위 외),R&D Systems (Bio-Techne),2667-CM-050,연구용,인간 재조합,"재조합 인간 바이글리칸, CF, 순도 >95%, 50 µg 포장",공개 카탈로그 가격 미표시(확인일 2026-09-14),데코린(143-DE),유리형 바이글리칸은 TLR2/4를 자극해 염증 반응을 유도할 수 있어 농도 관리 필요,중,"R&D Systems 공식 제품 페이지에서 품번·순도 확인, 근거는 프로테오글리칸 총론 리뷰로 오가노이드 특이 논문은 부재"
C-L3-006,루미칸,Lumican,LUM; keratan sulfate proteoglycan,L3,class II SLRP(약 40 kDa)로 케라탄황산 사슬을 통해 콜라겐 세섬유 간격을 조절하며 각막 투명성에 관여,각막·간질의 루미칸,선택,DOI:10.1096/fasebj.6.3.1740236,없음(특허 조사는 본 산출물 범위 외),R&D Systems (Bio-Techne),2846-LU,연구용,인간 재조합,"재조합 인간 루미칸, CF, 순도 >95%",공개 카탈로그 가격 미표시(확인일 2026-09-14),데코린; 바이글리칸,조직 특이성이 높아(각막·공막) 범용 오가노이드 매트릭스 성분으로서의 근거가 약함,하,"R&D Systems 공식 제품 페이지에서 품번·순도 확인, 근거는 프로테오글리칸 총론 리뷰이며 루미칸 단독의 오가노이드 효과 논문은 문헌 풀에 부재"
C-L3-007,아그린,Agrin,AGRN; 아그린 HSPG,L3,400~600 kDa 헤파란황산 프로테오글리칸으로 기저막에 결합해 수용체 클러스터링(신경근접합부 아세틸콜린 수용체 등)을 유도,기저막 아그린,선택,DOI:10.1038/s41467-018-03425-3,없음(특허 조사는 본 산출물 범위 외),R&D Systems (Bio-Techne),6624-AG,연구용,인간 재조합,"CHO 발현 인간 아그린 Ala1260-Pro2045, N-말단 6His 태그, CF, 순도 >95%, 50 µg 포장",공개 카탈로그 가격 미표시(확인일 2026-09-14),퍼레칸(Sigma H4777); 헤파란황산,전장이 아닌 C-말단 단편 제품이므로 기저막 결합 도메인 기능은 재현되지 않음,중,"R&D Systems 공식 제품 페이지에서 품번·아미노산 범위·태그·순도까지 확인, 근거는 근육줄기세포 니치의 기저판 리모델링 논문으로 아그린 단독 효과의 직접 근거는 아님"
