patent_id,title,assignee,assignee_type,jurisdiction,priority_date,filing_date,pub_date,ipc,tech_category,claim_checked,legal_status,expiry_note,significance,confidence,confidence_reason
US10925999B2,Tunable covalently crosslinked hydrogels and methods of making the same,TRUSTEES OF TUFTS COLLEGE,대학·연구기관,US,2013-10-08,2014-10-06,2021-02-23,A61L27/22 ; A61K9/00 ; A61K9/06,물성 제어,청구항 확인,등록·유효(Active),예상만료 2034-10-06,공유가교 밀도를 조절해 물성을 튜닝하는 하이드로겔(터프츠),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20220168442A1,ARTIFICIAL T-CELL STIMULATING MATRIX FOR IMMUNOTHERAPY,The Johns Hopkins University,대학·연구기관,US,2019-04-02,2020-04-02,2022-06-02,A61K47/69 ; A61K35/17 ; A61K47/68,물성 제어,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,전단탄성률 20-1600 Pa로 한정한 T세포 자극 매트릭스(존스홉킨스),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20250136927A1,COMPOSITION FOR 3D TISSUE CULTURE,The University Court of the University of Glasgow,대학·연구기관,US,2021-09-14,2022-09-13,2025-05-01,C12N5/00 ; C12N5/071 ; C12N5/077,물성 제어,청구항 확인,심사중(Pending),등록 여부 미확정,개질 ECM 단백질을 공유결합 대신 물리적으로 포획해 기능을 보존하는 조성(글래스고대),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20260137836A1,MAGNETICALLY-ALIGNED SYNTHETIC EXTRACELLULAR MATRIX FIBERS WITHIN HYDROGEL,The Regents of The University of Michigan,대학·연구기관,US,공보 서지에 우선일 미표시 — 출원일만 공개된 건(2026-09-14 확인),2025-12-19,2026-05-21,A61L27/44 ; A61L27/20 ; A61L27/22,물성 제어,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,자기장으로 정렬한 합성 ECM 섬유를 하이드로겔 내에 배치(미시간대),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20250354125A1,HIGH-THROUGHPUT LONG-TERM CULTURED ENDOTHELIAL ORGANOID WITH ANGIOGENESIS,Georgia Tech Research Corporation,대학·연구기관,US,2024-05-17,2025-05-15,2025-11-20,C12N5/071 ; C12N5/077 ; G01N33/50,물성 제어,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,혈관형성 가능한 장기배양 내피 오가노이드 구조체,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
KR102882918B1,Scaffold assembly for manufacturing cultured meat,연세대학교 산학협력단,대학·연구기관,KR,2021-11-29,2022-11-29,2025-11-07,미상(검색 원자료에 분류코드 미포함),물성 제어,서지정보만 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,배양육 제조용 스캐폴드 어셈블리(연세대),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR20250166811A,Platform for producing cultured meat comprising plant-based substitute meat and &hellip;,연세대학교 산학협력단,대학·연구기관,KR,2020-09-23,2025-11-14,2025-11-28,미상(검색 원자료에 분류코드 미포함),물성 제어,서지정보만 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,식물성 대체 단백질 기반 배양육 플랫폼(연세대),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR102592242B1,Compositions and kits for pseudoplastic microgel matrices,"로찰 테크놀로지스, 엘엘씨",기업,KR,2015-04-17,2016-04-12,2023-10-25,미상(검색 원자료에 분류코드 미포함),물성 제어,서지정보만 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,의가소성(pseudoplastic) 마이크로겔 매트릭스 조성·키트,중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR101429346B1,Method of pseudoislets culture using artificial extracellular matrix of elastin &hellip;,재단법인대구경북과학기술원,대학·연구기관,KR,2012-08-30,2012-08-30,2014-08-12,미상(검색 원자료에 분류코드 미포함),물성 제어,서지정보만 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,인공 세포외기질을 이용한 유사도세포 배양법(대구경북과학기술원),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR101966033B1,Recombinant laminin-521,바이오라미나 에이비,기업,KR,2010-12-17,2011-12-16,2019-04-04,미상(검색 원자료에 분류코드 미포함),정제 단백질 기반,서지정보만 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,재조합 라미닌-521(바이오라미나) 국내 등록,중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR101860960B1,Composition and method for enabling proliferation of pluripotent human stem &hellip;,칼 트리그베이슨,개인,KR,2010-03-17,2011-03-17,2018-05-24,미상(검색 원자료에 분류코드 미포함),정제 단백질 기반,서지정보만 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,인간 다능성줄기세포 증식용 라미닌 조성·방법,중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR20260039635A,Apparatus and Method for Finely Dispensing Gel-type Viscous Fluid,주식회사 매트릭셀바이오,기업,KR,2024-09-13,2025-09-15,2026-03-20,미상(검색 원자료에 분류코드 미포함),물성 제어,서지정보만 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,겔상 점성유체 미세토출 장치·방법(국내 기업 매트릭셀바이오),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
