patent_id,title,assignee,app_no,file_date,pub_date,ipc,claim_type,essential_elements,composition_ranges,organoid_scope,legal_status,claim_quote,confidence,confidence_reason
WO2025259828A1,"MICROPATTERNED PEG COMPOSITE GRANULAR HYDROGELS, COMPOSITIONS, AND THEIR USES",UNIV FLORIDA,PCT/US2025/033272,06/12/2025,12/18/2025,A61L27/26 ; A61L27/52 ; A61L27/54 ; A61L27/56 ; A61L27/58,조성물항,마이크로겔 입자;자성 포로젠;자기장 인가에 의한 컬럼 정렬,"청구항에 수치 범위 기재 없음(종속항 5-9항에 5-25 µm, 30-45 w/w % 등 존재)",오가노이드 한정 없음(PEG 복합 그래뉼러 하이드로겔),PCT 국제공개(권리 아님); 국내단계 진입·등록 여부 미확인,"composite granular hydrogel scaffold comprising: (i) microgel particles, and (ii) magnetic porogens, wherein the microgels and magnetic porogens are subjected to a magnetic field",상,독립항 원문 확보. 제목의 PEG조차 독립항에는 없고 종속항에만 존재
US11998658B2,Injectable porous hydrogels,University of New Hampshire,16/786312,02/10/2020,06/04/2024,A61L27/22 ; A61L27/36 ; A61L27/38 ; A61L27/52,혼합(방법항 1·11항 + 조성물항 7항),젤라틴/GelMA 마이크로겔;가교효소(트랜스글루타미네이스);광개시제,마이크로겔 평균직경 130 µm-250 µm; 광개시제 0.001%-0.1% (w/v),오가노이드 한정 없음(주입형 다공성 하이드로겔),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,microgels have an average diameter between 130 μm and 250 μm ... (b) cross-linking enzyme comprising transglutaminase; and (c) photoinitiator ... 0.001% to 0.1% (w/v),상,독립항 3개 원문 확보. 트랜스글루타미네이스가 조성물 독립항의 필수 성분
EP3662054B1,A THREE-DIMENSIONAL HYDROGEL SCAFFOLD FOR CELL CULTURING AND A METHOD FOR THE PRODUCTION THEREOF,UNIV DEGLI STUDI GENOVA,EP20180730009,06/18/2018,08/03/2022,C12N5/00 ; C08J3/075 ; C08J3/24,방법항,가스발생제(탄산수소나트륨 등);수용성 염;비수용성·수팽윤성 가교 폴리(아크릴) 고분자,"가열 120°C-160°C, 1-120분(바람직 1-20분)",오가노이드 한정 없음(세포배양용 3D 하이드로겔 스캐폴드),유럽특허 등록공보(B1) 기준 등록; 각국 유효화·존속 여부 미확인,"at least one gas-forming agent ... at least one water-soluble salt and at least one non-water-soluble, water-swellable cross-linked poly(acrylic) polymer",상,독립항 원문 확보. 생물학적 성분이 전무한 순합성 다공성 스캐폴드
US20250314637A1,HYDROGEL MICROENVIRONMENT FOR GASTRIC TISSUE CULTURE MODEL,THE ROYAL INSTITUTION FOR THE ADVANCEMENT OF LEARNING/MCGILL UNIVERSITY,19/169512,04/03/2025,10/09/2025,G01N33/50 ; C12N5/071 ; C12N5/09,혼합(물건항 1항 + 방법항 10항),알지네이트;젤라틴;위조직 유래 탈세포화 ECM(dECM),알지네이트 0.8-1.2 w/v %; 젤라틴 1.7-2.3 w/v %,위(gastric) 조직배양 모델로 한정,미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,"An gastric tissue model that is three-dimensional comprising from 0.8 to 1.2 w/v % alginate, from 1.7 to 2.3 w/v % gelatin and gastric decellularized extracellular matrix (dECM).",상,독립항 2개 원문 확보. 3성분 중 2성분이 좁은 농도범위로 한정됨
US20260137836A1,MAGNETICALLY-ALIGNED SYNTHETIC EXTRACELLULAR MATRIX FIBERS WITHIN HYDROGEL,The Regents of The University of Michigan,19/427405,12/19/2025,05/21/2026,A61L27/44 ; A61L27/20 ; A61L27/22 ; A61L27/48 ; A61L27/52 ; B82Y5/00,방법항,자성 나노입자 함유 전기방사 섬유 현탁액;하이드로겔 전구체 용액(고분자);자기장 내 가교,청구항에 수치 범위 기재 없음,오가노이드 한정 없음(합성 ECM 섬유 정렬 복합체),미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,combining the suspension with a hydrogel precursor solution comprising polymer molecules to form a composite suspension; and crosslinking the polymer molecules within a magnetic field,중,독립항(13항) 원문 확보. 1-12항 canceled 상태로 최종 권리범위 변동 가능
US20160178611A1,THREE-DIMENSIONAL TRANSGLUTAMINASE-CROSSLINKED HYDROGEL FOR TUMOR ENGINEERING,HAN BO FANG JOSEPHINE,14/680528,04/07/2015,06/23/2016,G01N33/50,조성물항,젤라틴;트랜스글루타미네이스 촉매 작용에 의한 공유가교(글루타민 아실기-라이신 ε-아미노기 결합),청구항에 수치 범위 기재 없음,오가노이드 한정 없음(종양 모델링용 3차원 매트릭스),미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,the three-dimensional matrix comprises gelatin covalently cross-linked by the catalytic action of transglutaminase forming covalent bonds between the acyl groups of glutamine side chains,상,독립항 원문 확보. 젤라틴+TGase 2성분만으로 구성
US8911723B2,Hybrid hydrogel scaffold compositions and methods of use,"Escape Therapeutics, Inc.",13/592473,08/23/2012,12/16/2014,A61K9/00 ; A61K35/12 ; A61K38/08 ; A61K47/34 ; C12N5/00,조성물항,EFK8 자기조립 펩타이드;폴록사머 407;중간엽줄기세포,EFK8 약 0.75%-1.25% (w/v); 폴록사머 407 약 20% (w/v),오가노이드 한정 없음(하이브리드 하이드로겔 스캐폴드),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,(a) about 0.75% to about 1.25% EFK8 (w/v); (b) about 20% poloxamer 407 (w/v) ... and (c) mesenchymal stem cells,상,독립항 원문 확보. 세포 자체가 청구항 구성요소로 포함된 사례
US9782517B2,Crosslinked hyaluronic acid-collagen gels for improving tissue graft viability and soft tissue augmentation,"Allergan, Inc.",15/494991,04/24/2017,10/10/2017,A61L27/52 ; A61K8/65 ; A61L27/24 ; A61L27/26 ; A61L27/36 ; A61L27/38 ; A61L27/54 ; A61L27/58,방법항,물;히알루론산-콜라겐 공유가교 거대분자 매트릭스(아미드 결합);지방 성분(자가 지방조직/지방세포),"HA:콜라겐 중량비 1:1-7:1; HA 농도 6-21 mg/mL; 콜라겐 농도 3-12 mg/mL; 저장탄성률 850-5,000 Pa",오가노이드 한정 없음(연조직 증대·지방이식),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,"a weight ratio of the hyaluronic acid to the collagen of 1:1 to 7:1 ... a hyaluronic acid concentration of 6 mg/mL to 21 mg/mL, a collagen concentration of 3 mg/mL to 12 mg/mL",상,독립항 2개 원문 확보. 중량비·농도·탄성률이 모두 독립항에 수치 한정된 드문 사례
US10173357B2,Poly(ethylene glycol) cross-linking of soft materials to tailor viscoelastic properties for bioprinting,Northwestern University,14/497274,09/25/2014,01/08/2019,A61L27/18 ; A61L27/38 ; A61L27/44 ; A61L27/52 ; A61L27/56 ; C12N5/00 ; C12M1/26,방법항,물;가교 생체적합성 고분자;생활성 인자 또는 세포;PEG 유래 반복 가교 단위,전단 저장탄성률 less than 300 Pa,오가노이드 한정 없음(바이오프린팅),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,"extruding a hydrogel composition having a shear storage modulus of less than 300 Pa through the annulus of a channel, the hydrogel composition comprising: water; a crosslinked biocompatible polymer",상,독립항 원문 확보
US20210138114A1,EXTRUDABLE PHOTOCROSSLINKABLE HYDROGEL AND METHOD FOR ITS PREPARATION,UNIVERSIDAD DE LOS ANDES,16/992708,08/13/2020,05/13/2021,A61L27/36 ; A61K38/17 ; A61L27/20 ; A61L27/52 ; A61L27/54 ; B33Y40/10 ; B33Y70/00,혼합(조성물항 1항 + 방법항 12항),생화학적 수식 ECM;전도성 나노소재;광개시제;용매,청구항에 수치 범위 기재 없음,오가노이드 한정 없음(압출형 광가교 하이드로겔),미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,a biochemically modified extracellular matrix (ECM) with an electroconductive nanomaterial embedded; a photoinitiator; and a solvent.,상,독립항 2개 원문 확보. ECM의 성분 조성은 전혀 한정하지 않음
US11629336B2,"Method of preparing crosslinked hydrogels, resulting muscle stem cell culture media, and methods of use",Jiangnan University,17/846227,06/22/2022,04/18/2023,C12N5/077 ; A23L13/00 ; C08J3/075 ; C12N9/10 ; A23L17/00,방법항,콜라겐;알지네이트;헤파란황산 프로테오글리칸;ε-폴리라이신;트랜스글루타미네이스,몰드 내 12-36시간 인큐베이션 (성분 농도는 독립항에 없음),오가노이드 한정 없음(근육줄기세포 배양 매질),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,adding heparan sulfate proteoglycan to the collagen/alginate solution ... adding e-polylysine (e-PL) ... adding transglutaminase (TGase) to the first physically crosslinked slurry,상,독립항 원문 확보. HSPG가 기저막 특허 계열 밖에서 필수 기재된 드문 사례
US10925999B2,Tunable covalently crosslinked hydrogels and methods of making the same,TRUSTEES OF TUFTS COLLEGE,15/027468,10/06/2014,02/23/2021,A61L27/22 ; A61K9/00 ; A61K9/06 ; A61K35/00 ; A61K47/42 ; A61K47/46 ; A61L27/18 ; A61L27/20 ; A61L27/36 ; A61L27/38 ; A61L27/50 ; A61L27/52 ; A61L27/54 ; A61L27/58 ; C07K14/435 ; C08J3/075 ; C12P21/00,혼합(조성물항 1·16항 + 방법항 6항),페놀성 측쇄를 갖는 실크 피브로인;퍼옥시데이스;퍼옥사이드;베타시트 2차구조;공유가교,실크 피브로인 0.1%-10% (w/v 또는 w/w); 분자량 100-400 kDa; 저장탄성률 약 50 Pa-100 kPa; 접선탄성률 약 200 Pa-400 kPa; 팽윤 최대 400%(16항 440%),오가노이드 한정 없음(범용 가교 하이드로겔),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,the silk fibroin solution consists essentially of water and the silk fibroin in an amount of 0.1% (w/v or w/w) to 10% (w/v or w/w),상,독립항 3개 원문 확보. 'consists essentially of'로 성분을 강하게 폐쇄한 사례
US12221630B2,Cell culture medium and method for generation of epithelial organoids from epithelial stem cells,MILTENYI BIOTEC B.V. & CO. KG,17/432001,02/18/2020,02/11/2025,C12N5/071,혼합(배양물항 1항 + 배지 조성물항 3항 + 방법항 5항),기초배지;BMP 억제제;유사분열성 성장인자(EGF/TGFα/bFGF/BDNF/KGF);가용성 배양 증진제(라미닌·엔탁틴 복합체);Wnt 작용제(정상세포인 경우),라미닌+엔탁틴 합산 농도 between 0.2 mg/mL and 1 mg/mL,상피 오가노이드(epithelial organoid)로 한정,미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,said at least one soluble culture enhancer in said cell culture is a complex comprising laminin and entactin at a combined concentration between 0.2 mg/mL and 1 mg/mL,상,독립항 3개 원문 확보. 3D 겔이 아닌 '가용성 첨가제'로 라미닌·엔탁틴을 청구한 점이 특징
US12109327B2,"Scaffolds from self-assembling tetrapeptides support 3D spreading, osteogenic differentiation and angiogenesis of mesenchymal stem cells",KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,17/401542,08/13/2021,10/08/2024,A61L27/36 ; A61L27/22 ; B33Y10/00 ; B33Y70/00 ; B33Y80/00 ; C12N5/077,혼합(물건항 1항 + 방법항 14항),생중간엽줄기세포;초단쇄 자기조립 펩타이드 스캐폴드;골형성 마커 발현,스캐폴드 강성 16-25 kPa(1항) / 20-25 kPa(14항); 37°C 5분 인큐베이션,오가노이드 한정 없음(골조직 이식편),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,"ultrashort self-assembling peptide scaffolds, wherein the stiffness of the peptide scaffolds is 16-25 kPa",상,독립항 2개 원문 확보
US20250222167A1,CROSS-LINKED PROTEIN FOAMS AND METHODS OF USING THEREOF A POLYVALENT CELLULAR SCAFFOLD,BIO-CHANGE LTD.,19/092541,03/27/2025,07/10/2025,A61L27/22 ; A61L27/24 ; A61L27/26 ; A61L27/56,조성물항,RGD 모티프를 갖는 가교성 단백질;가교제;다공성 스캐폴드 구조,공극 1-500 microns,오가노이드 한정 없음(다가 세포 스캐폴드),미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,a cross-linkable protein comprising at least one RGD (Arg-Gly-Asp) motif; and a cross-linker ... pores of the porous scaffold are from 1 to 500 microns,상,독립항 원문 확보. 본 코퍼스에서 RGD가 독립항 필수요소로 기재된 사실상 유일 사례
US20240132849A1,NON-ALCOHOLIC FATTY LIVER ARTIFICIAL TISSUE MODEL,CELLARTGEN INC.,18/515269,11/21/2023,04/25/2024,C12N5/071 ; C12M1/32 ; C12M3/00 ; C12M3/06,조성물항(물건항),탈세포화 간조직 유래 ECM(LEM) 함유 하이드로겔;간 오가노이드;미세채널 디바이스;유리지방산 함유 배지,청구항에 수치 범위 기재 없음,간 오가노이드(비알코올성 지방간 모델)로 한정,미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,a hydrogel containing a decellularized liver tissue-derived extracellular matrix (Liver Extracellular Matrix; LEM); a liver organoid; a device including a well,상,독립항 원문 확보. dECM의 성분 조성은 한정 없음
WO2026010928A1,A BIOSPHERICAL STRUCTURE AND METHOD FOR GENERATING THE SAME,COLOSSAL BIOSCIENCES INC,PCT/US2025/036040,07/01/2025,01/08/2026,A61L27/56 ; C12M1/12 ; C12M3/00,혼합(물건항 1항 + 방법항 17항),3차원 스캐폴드 매트릭스;제1 세포;제2 세포,청구항에 수치 범위 기재 없음,오가노이드 한정 없음(biosphere 구조체),PCT 국제공개(권리 아님); 국내단계 진입·등록 여부 미확인,(a) a three-dimensional scaffold matrix for biological growth; (b) a first type of cell configured to be in contact with the three-dimensional scaffold matrix,상,독립항 원문 확보. 콜라겐·라미닌·콜라겐IV·엔탁틴·HSPG는 모두 종속항 2·3항에만 등장
US20250354125A1,HIGH-THROUGHPUT LONG-TERM CULTURED ENDOTHELIAL ORGANOID WITH ANGIOGENESIS,Georgia Tech Research Corporation,19/209241,05/15/2025,11/20/2025,C12N5/071 ; C12N5/077 ; G01N33/50,혼합(물건항 1항 + 방법항 14항),신전된 내피세포 층;기저막 모사 겔(basement membrane mimetic gel) 내부 코어,청구항에 수치 범위 기재 없음,내피 오가노이드(endothelial organoid)로 한정,미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,a three-dimensional structure with vasculature formed around a basement membrane mimetic gel inner core,중,독립항 2개 원문 확보. 다만 'basement membrane mimetic gel'의 조성이 전혀 한정되지 않아 성분 추출 불가
US20220145247A1,GENERATION OF HUMAN PLURIPOTENT STEM CELL DERIVED ARTIFICIAL TISSUE STRUCTURES WITHOUT THREE DIMENSIONAL MATRICES,MILTENYI BIOTEC B.V. & CO. KG,17/430131,02/10/2020,05/12/2022,C12N5/079 ; C12N5/071,혼합(방법항 1항 + 용도항 10항 + 키트항 15항),다능성 줄기세포 다세포 응집체;신경유도배지;점도 한정 분화배지(3차원 매트릭스 불요구),배지 점도 1.7 mPa*s to 1500 mPa*s,뇌 오가노이드(brain organoid)로 한정,미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,"culturing said differentiated multicellular aggregation in suspension in a differentiation medium, wherein said differentiation medium has a viscosity between 1.7 mPa*s and 1500 mPa*s",상,독립항 3개 원문 확보. 3D 매트릭스 없이 점도만으로 오가노이드를 얻는다는 반대 방향 청구
US12514957B2,Omentum based scaffold and delivery system,Ramot at Tel-Aviv University Ltd.,16/686158,11/17/2019,01/06/2026,A61L27/36 ; A61K35/34 ; A61K35/44 ; A61L27/14 ; A61L27/38 ; A61L27/52 ; A61L27/58 ; C12N5/071 ; C12N5/074 ; C12N5/077,방법항,탈세포화 대망(omentum);단백질분해효소 분해 액상 조성물;생존 심장세포;압출,핵산 잔류 more than 99% devoid; 지질 more than 99% devoid; 37°C 겔화,오가노이드 한정 없음(심장조직 3D 프린팅),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,"digesting decellularized omentum with a proteolytic enzyme to generate a liquid composition which comprises solubilized, decellularized omentum",상,독립항 원문 확보. 조성이 아닌 잔류물 제거율로 한정
US11648335B2,"Organ/tissue decellularization, framework maintenance and recellularization",WAKE FOREST UNIVERSITY HEALTH SCIENCES,14/610902,01/30/2015,05/16/2023,A61L27/36 ; A61L27/38 ; A61L27/54,방법항,ex vivo 장기;세제 관류;중성 완충액 세척;복수 유입구·유출구,세제 at least 50 volumes; 완충액 at least 50 volumes (장기 부피 기준),오가노이드 한정 없음(장기 탈세포화),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,(a) Perfusing an ex vivo organ ... with at least 50 volumes of a detergent ... and (b) Rinsing the ex vivo organ with at least 50 volumes of a neutral buffer,상,독립항 원문 확보. ECM 성분은 청구항에 전혀 등장하지 않음
US8642339B2,Culture medium for epithelial stem cells and organoids comprising the stem cells,Koninklijke Nederlandse Akademie van Wetenschappen,13/147163,02/03/2010,02/04/2014,C12N5/02,방법항,상피줄기세포 또는 조직 단편;세포외기질;BMP 억제제;유사분열성 성장인자;Wnt 작용제,유사분열성 성장인자 between 5 and 500 ngram/ml (33항은 EGF 5-500 ng/ml),크립트-빌러스 오가노이드 / 대장 크립트 오가노이드로 한정,"등록·유효(Active), 만료예정일 2030-02-03 (Google Patents 2026-09-14 접근)","a Bone Morphogenetic Protein (BMP) inhibitor, between 5 and 500 ngram/ml of a mitogenic growth factor, and a Wnt agonist ... incubating an epithelial stem cell ... with an extracellular matrix",상,"독립항 4개 원문 확보, 권리상태 1차출처 확인. ECM은 '접촉' 대상으로만 기재되고 성분 한정 없음"
US20220168442A1,ARTIFICIAL T-CELL STIMULATING MATRIX FOR IMMUNOTHERAPY,The Johns Hopkins University,17/600840,04/02/2020,06/02/2022,A61K47/69 ; A61K35/17 ; A61K47/68 ; A61P35/00 ; C07K16/28 ; C12N5/0783,조성물항,하이드로겔(전단탄성률 한정);제1 T세포 활성화 신호 분자;제2 T세포 활성화 신호 분자,전단탄성률 about 20 Pa to about 1600 Pa,오가노이드 한정 없음(면역치료용 인공 매트릭스),미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,A composition comprising a hydrogel having a shear modulus of about 20 Pa to about 1600 Pa conjugated with a first molecule that provides a first T cell activating signal,상,독립항 원문 확보. 하이드로겔 소재 자체는 한정하지 않고 물성만 한정
