item_id,layer,name_ko,name_en,role_in_collagen_system,necessity,necessity_basis,evidence_type,evidence_ref,experiment_summary,quant_spec,supplier,catalog_no,grade,origin,alternatives,risk,confidence,confidence_reason
CL-L3-001,L3,데코린,Decorin,"콜라겐 섬유에 결합해 측방 성장을 입체적으로 방해, 섬유 직경을 가늘게 유지",선택,체내 섬유직경 조절자이지만 체외 콜라겐 겔에서 추가 투여가 필요하다는 직접 근거가 이 자료에 없음,REVIEW,"PMC6783949[전문 확인]; PMC4589685[전문 확인, 참고문헌]","PMC6783949: 데코린 같은 프로테오글리칸은 콜라겐 결합을 입체적으로 방해해 섬유 형성을 조절하며, 소 건 유래 특정 더마탄황산 프로테오글리칸은 I형 콜라겐의 섬유형성을 억제. 따라서 공여 동물 연령에 따른 조성 편차를 고려해야 함",정량 근거 없음,R&D Systems,143-DE (recombinant human decorin). 확보 실패: 제조사 페이지 원문 미확인,연구용,재조합 인간 단백질 또는 소 건 추출,비오글리칸; 루미칸; 피브로모듈린,섬유형성 억제로 겔화 실패 유발 가능,중,"기능 근거는 전문 확인, 제품 품번은 미검증"
CL-L3-002,L3,콘드로이틴황산/황산화 GAG,Chondroitin sulfate / sulfated GAG,콜라겐 등전점을 이동시켜 섬유 직경을 줄이고 겔 전하 환경을 바꿈,선택,섬유 직경 미세조정이 목표일 때만. 오가노이드 형성 자체에 필수 근거 없음,REVIEW;DOSE,PMC5123637[전문 확인],"콜라겐-히알루론산 혼합에서 GAG의 황산화 상태가 최종 겔 등전점을 바꾸고, 황산화가 높을수록 섬유 크기가 감소하며 파골세포 형성도 감소",정량 근거 없음,Merck/Sigma-Aldrich,C9819 (chondroitin sulfate A sodium salt),연구용,소 기관지/상어 연골 등,헤파란황산; 더마탄황산,"동물 유래 GAG의 로트 편차, 겔화 지연",중,정성적 방향성은 전문에서 확인했으나 콜라겐계 정량 용량 근거 없음
CL-L3-003,L3,엔탁틴/니도젠,Entactin / nidogen,라미닌망과 IV형 콜라겐망을 연결하는 가교 단백질,선택,"라미닌-511 E8만으로도 인테그린 신호는 충족되며, 엔탁틴은 기저막 재구성을 목표로 할 때만",CLAIM;REVIEW,특허 US20070154552A1 독립항 2·4; PMC8889330[전문 확인],"US20070154552A1 청구항 1: '콜라겐 I, 콜라겐 IV, 라미닌, 엔탁틴, 테나신을 포함하는 바이오매트릭스 조성물'(인간 양막 유래). PMC8889330은 피브린에 라미닌-111/엔탁틴 복합체를 보충한 사례를 기술",정량 근거 없음,Corning Life Sciences,354259 (Laminin/Entactin complex). 확보 실패: 제조사 페이지 원문 미확인,연구용,EHS 마우스 육종,Matrigel 내 내재 성분,이종 유래; 단가 높음,중,"특허 청구항은 원문 확인, 제품 품번 미검증"
CL-L3-004,L3,테나신-C,Tenascin-C,콜라겐 겔에서 세포 생존·부착을 조절하는 매트리셀룰러 단백질,선택,정상 상피 오가노이드에는 불필요. 종양 미세환경 모델링 시에만,REVIEW;CLAIM,PMC2139818[전문 확인]; PMC13528202[전문 확인]; 특허 US20070154552A1,PMC2139818: 소 진피 I형 콜라겐(Vitrogen 100) 3.1 mg/mL 0.8 mL + 0.1 M NaOH 0.1 mL + 10× PBS 0.1 mL를 4 °C에서 혼합해 최종 2.48 mg/mL 겔을 만들고 테나신-C 유무에 따른 평활근세포 생존을 비교. PMC13528202은 테나신-C 풍부 전이 niche를 하이드로겔로 모사,정량 근거 없음,Merck/Sigma-Aldrich,CC065 (human tenascin-C). 확보 실패: 제조사 페이지 원문 미확인,연구용,인간 태반/재조합,R&D Systems 3358-TC,정상 상피 모델에 불필요한 신호 도입,중,"콜라겐 겔 조제 조건은 전문 확인, 첨가 용량 근거 없음"
CL-L4-001,L4,"배지 투여 성장인자 일반(EGF, Noggin, R-spondin 등)","Soluble growth factors in medium (EGF, Noggin, R-spondin)",배지 소관,선택,배지 소관 — 본 조사 범위 밖(다른 에이전트 담당),REVIEW,PMC11795259[전문 확인]; PMC10070462[전문 확인],"배지 소관. 참고로 PMC11795259은 ENR 배지, PMC10070462은 WRNH 조건배지를 사용했으나 이들은 매트릭스 성분이 아니라 배지 성분임",정량 근거 없음,배지 소관,배지 소관,배지 소관,배지 소관,배지 소관,매트릭스 BOM에 배지 성분을 혼입하면 비용·규격 관리가 왜곡됨,상,범위 구분이 명확함 — 배지 소관으로 명시하고 넘어감
CL-L4-002,L4,헤파린 나트륨(성장인자 매트릭스 고정용),Heparin sodium (matrix-bound growth factor tether),"헤파린 결합성 성장인자(FGF, VEGF 등)를 겔에 붙잡아 서방출시키는 앵커",조건부,성장인자를 매트릭스에 결합시키는 설계를 택할 때만 필요. 배지 투여 방식이면 불필요,REVIEW,PMC8889330[전문 확인],피브린 기반 오가노이드 매트릭스에서 Matrigel 주성분을 대체할 때 콜라겐 IV·헤파린·라미닌-111/엔탁틴 복합체를 함께 보충,정량 근거 없음,Merck/Sigma-Aldrich,H3149 (heparin sodium salt from porcine intestinal mucosa),연구용,돼지 장점막,헤파란황산; 헤파린 결합 펩타이드,돼지 유래(종교적 제약); 항응고 활성으로 in vivo 적용 제약,중,리뷰에서 조합 사례는 확인했으나 콜라겐 겔에서의 결합 정량 근거 없음
CL-L4-003,L4,콜라겐 결합 도메인 융합 성장인자,Collagen-binding domain fused growth factor,성장인자를 콜라겐 섬유에 직접 결합시켜 국소 농도를 유지,선택,콜라겐 결합 도메인 융합 설계의 특허적 근거는 라미닌에 대해 확인되나 성장인자 융합체의 상용품은 확인되지 않음,CLAIM,특허 US10000554(Osaka University),청구항은 라미닌 E8에 콜라겐 결합 분자를 융합하는 설계를 기재. 동일 원리를 성장인자에 적용하는 것은 본 자료의 청구항 범위 밖,정량 근거 없음,확보 실패: 상용 제품 미확인,해당 없음,해당 없음,재조합 단백질,헤파린 앵커; EDC/NHS 직접 결합,자체 발현 필요,하,원리적 특허 근거만 있고 콜라겐-성장인자 융합체의 직접 근거·제품 모두 미확인
CL-L4-004,L4,재조합 BMP(콜라겐 담체 결합형),Recombinant BMP on recombinant collagen carrier,콜라겐을 담체로 골형성 인자를 결합시키는 조성(체내 이식용),선택,체내 이식용 골·연골 조성물 범주. 체외 상피 오가노이드 배양에는 불필요,CLAIM,특허 US20120141555A1 / US20100028404A1 / US8586070 (SBF Synthetic Bone Factory) 독립항 5,"독립항 5: '인간 유래 재조합 콜라겐 최소 1종과 골유도·연골유도 활성을 갖는 재조합 BMP 최소 1종을 포함하고, BMP가 콜라겐 양 대비 약 0.005~5 중량%인 골·연골 결손 치료용 조성물'","BMP/콜라겐 = 0.005~5 중량%(청구항 수치, 체내 이식용)",확보 실패: 해당 조성 상용품 미확인,US20120141555A1 (특허번호),해당 없음(체내 이식용 조성물),재조합 인간 콜라겐 + 재조합 BMP,해당 없음,체외 오가노이드 배양에 잘못 적용하면 분화 방향 왜곡,중,청구항 원문의 배합비는 확인했으나 체외 배양 적용 근거는 없음 — 용도 구분 명시
CL-L5-001,L5,GFOGER(콜라겐 내재 인테그린 결합부위),GFOGER motif (intrinsic to collagen),α2β1·α1β1 인테그린 결합부위. 콜라겐 분자에 이미 고밀도로 존재하므로 별도 구매 불필요,필수,필수 기능이지만 콜라겐 본체가 이미 보유 — 별도 물질로 구매할 대상이 아님,SUBST;DOSE;REVIEW,PMC13365112[전문 확인]; PMC13528202[전문 확인]; PMC8889330[전문 확인]; PMC5123637[전문 확인],"SUBST 근거: 콜라겐을 PEG 백본으로 치환한 계에서는 GFOGER를 인위적으로 되붙여야 콜라겐 결합 인테그린이 관여한다 — PMC13528202은 PEG-tetraBCN 겔에 N3-GGFOGER 0.12 mM을 도입했고, PMC8889330은 8-arm PEG에 α2β1 리간드 GFOGER-RGD를 결합해야 장 오가노이드 장기 배양이 성립했다고 기술(단 증식률은 Matrigel보다 낮음). PMC13365112: 콜라겐은 RGD를 전혀 포함하지 않으나 GPO/GFOGER 유사 서열이 조밀해 매우 높은 화학량론적 밀도의 인테그린 활성화 부위를 제공",구매 불필요 — 콜라겐 1 mg당 내재. 별도 펩타이드로 보충할 경우 참조 농도 0.12 mM(PEG계 대조군),해당 없음(콜라겐 본체에 내재),해당 없음,해당 없음,콜라겐 본체,별도 GGFOGER 펩타이드 합성(ChemPep 등),가교 처리가 GFOGER 주변 라이신·카복실기를 소모하면 인테그린 결합능이 손상됨,상,콜라겐이 GFOGER를 내재하고 RGD를 갖지 않는다는 점이 전문에서 명시적으로 확인됨
CL-L5-002,L5,RGD 펩타이드(GRGDS),RGD peptide (GRGDS),αvβ3·α5β1 인테그린 결합부위 추가,선택,콜라겐은 GFOGER를 고밀도로 갖고 있어 RGD 추가가 부착을 위해 필요하다는 근거는 없음. PEG 등 비활성 백본에서만 필수,OMIT;DOSE,PMC13365112[전문 확인]; PMC13528202[전문 확인]; PMC8889330[전문 확인],"PMC13365112: 콜라겐에는 RGD가 없으나 GFOGER 밀도가 매우 높음. PMC13528202: 조직 조성을 모사한 PEG 겔에서 RGDS 0.64 mM(총 펩타이드의 32%), GFOGER 0.12 mM(6%)로 배합 — 즉 RGD는 피브로넥틴 모사용이지 콜라겐 결핍 보정용이 아님. PMC8889330: RGD는 PEG·셀룰로스 같은 비접착 백본을 기능화할 때 도입됨",PEG 백본 기준 0.64 mM(GRGDS); 콜라겐 골격에서는 추가 근거 없음,ChemPep Inc.(논문 사용 공급처),확보 실패: 공개 카탈로그 품번 미확인,펩타이드 합성(Fmoc),화학 합성,GDGEA 펩타이드; 콜라겐 내재 GFOGER 활용,불필요한 리간드 추가로 인테그린 사용 패턴이 생체와 달라질 수 있음,상,'콜라겐에 RGD 추가가 필요한가'에 대해 부정적 근거가 전문에서 직접 확인됨
CL-L5-003,L5,DGEA 펩타이드,DGEA peptide (collagen-derived),콜라겐 유래 α2β1 결합 서열. 다중 인테그린 관여를 노릴 때,선택,콜라겐 본체에 내재된 서열이므로 콜라겐 골격에서 추가할 이유가 없음,OMIT;DOSE,PMC13528202[전문 확인],PEG 겔에서 콜라겐 유래 펩타이드로 DGEA 0.12 mM과 GFOGER 0.12 mM을 함께 도입해 전이암세포의 다중 인테그린을 관여시킴 — 콜라겐 부재 시의 보정 설계,PEG 백본 기준 0.12 mM; 콜라겐 골격에서는 불필요,ChemPep Inc.,확보 실패: 공개 카탈로그 품번 미확인,펩타이드 합성,화학 합성,콜라겐 내재 서열 활용,중복 리간드,상,PEG 대조 설계에서의 역할이 전문에서 명확
CL-L5-004,L5,"라미닌 유래 펩타이드(IKVAV, YIGSR)","Laminin-derived peptides (IKVAV, YIGSR)",라미닌 전장 대신 짧은 모티프로 기저막 신호 일부를 공급,선택,라미닌-511 E8 단편이 인테그린 결합능(Kd <10 nM)을 보존하므로 짧은 모티프를 쓸 이유가 약함,SUBST,PMC11795259[전문 확인]; PMC9420433[전문 확인],PMC11795259: 장 상피에서 라미닌-511 전장 기능이 라미닌-111보다 명확히 우수. PMC9420433: 완전 합성 펩타이드 하이드로겔로 iPSC 유래 신장 오가노이드의 성장·분화가 가능함을 보임(다만 콜라겐계가 아님),정량 근거 없음,Merck/Sigma-Aldrich,확보 실패: 구체 품번 미검증,펩타이드 합성,화학 합성,iMatrix-511 (NP892-011),짧은 모티프는 친화도가 낮아 효과가 제한적,중,"대체 우열은 전문 확인, 용량 근거 없음"
CL-L5-005,L5,MMP 절단성 가교 펩타이드,MMP-cleavable crosslinker peptide (GPQGIWGQ),합성 백본을 세포가 분해할 수 있게 만드는 가교체,선택,콜라겐은 이미 MMP·콜라게네이스로 세포가 분해할 수 있어 콜라겐 골격에서는 불필요,OMIT;DOSE,PMC13528202[전문 확인]; PMC4589685[전문 확인],PMC13528202: PEG 겔에 N3-RGPQGIWGQLAETGGRK(N3)-NH2 6 mM을 PEG:가교제 1:2 몰비로 사용. PMC4589685: 콜라겐 매트릭스에서는 MMP 요구도가 미세구조에 따라 달라지며 큰 공극에서는 MMP 없이도 이동 가능,PEG 백본 기준 6 mM; 콜라겐 골격에서는 불필요,ChemPep Inc.,확보 실패: 공개 카탈로그 품번 미확인,펩타이드 합성,화학 합성,콜라겐 자체의 MMP 감수성 활용,불필요한 비용,상,콜라겐의 내재적 분해성이 전문에서 확인됨
CL-L6-001,L6,EDC(카보디이미드),EDC / EDAC hydrochloride,콜라겐 카복실기를 활성화해 라이신 아민과 아마이드 결합(제로렝스 가교)을 만든다. 잔류물이 구조에 남지 않음,조건부,겔 강성·분해저항을 올려야 할 때만. 세포를 넣은 채 굳힐 수 없음,REVIEW;DOSE;VENDOR,PMC5123637[전문 확인]; PMC3184152[전문 확인]; PMC5904049[전문 확인]; Sigma-Aldrich E7750(2026-09-16 확인),"PMC5123637: EDC 농도 0.25→25 mM에서 기계강도는 오르지만 세포 증식은 유의하게 감소하고, 6→96 mM에서는 증식이 거의 소실. 통상 문헌치의 10% 미만 강도로 가교하면 HT1080 부착이 5배 증가하고 겔은 생리조건에서 안정. PMC3184152: 95% 에탄올 중 EDC 33 mM + NHS 6 mM, 25 °C 4시간. PMC5904049: MES 완충액(0.1 M, pH 5) 중 5 mg/mL 콜라겐을 EDC/NHS 가교 후 잔류 EDC/NHS를 세척 제거",EDC 6~33 mM(강한 가교) 또는 문헌치의 10% 미만(세포친화 가교); NHS와 몰비 약 5:1; 25 °C 4시간; 95% 에탄올 또는 0.1 M MES pH 5,Merck/Sigma-Aldrich,E7750 (commercial grade) / E6383 (crystalline),"시약급(E7750), CAS 25952-53-8",화학 합성,Thermo Fisher 22980; DMTMM,세포 봉입 불가(세포 존재 하 가교 시 세포 표면 단백질까지 가교되어 사멸); 잔류 EDC/NHS 세척 필수,상,용량-반응(증식 감소 구간)과 실제 프로토콜 조건이 전문 3편에서 확인됨
CL-L6-002,L6,NHS(N-하이드록시숙신이미드),N-Hydroxysuccinimide,EDC 활성화 중간체를 안정화해 가교 효율을 높인다,조건부,EDC를 쓸 때만 동반 필요,DOSE;VENDOR,PMC3184152[전문 확인]; PMC10876488[전문 확인]; Sigma-Aldrich 130672(2026-09-16 확인),"PMC3184152: EDC 33 mM에 NHS 6 mM 병용. PMC10876488: HA 1.0 g에 EDC-HCl 1.48 g + NHS 0.9 g, pH 5.0~5.5, 8시간 반응",EDC 대비 몰비 약 1:5~1:1; pH 5.0~5.5,Merck/Sigma-Aldrich,130672 (98%),"시약급, CAS 6066-82-6",화학 합성,Sulfo-NHS(수용성),EDC와 동일하게 세포 봉입 불가,상,제조사 제품 확인 + 실제 배합비가 전문에서 확인됨
CL-L6-003,L6,MES 완충액,MES buffer,EDC/NHS 반응의 최적 산성 pH(약 5)를 유지,조건부,EDC/NHS 가교 시에만,DOSE,PMC5904049[전문 확인],동결건조 콜라겐을 0.1 mol/L MES 완충액(pH 5)에 5 mg/mL로 재용해한 뒤 EDC/NHS 가교,"0.1 mol/L, pH 5.0",Merck/Sigma-Aldrich,M3671 (MES hydrate),시약급,화학 합성,인산완충액(효율 저하),산성 조건에서 콜라겐 섬유가 풀릴 수 있음,상,농도·pH가 전문에서 명시됨
CL-L6-004,L6,제니핀,Genipin,치자 유래 천연 가교제. 라이신 아민과 반응해 청색 가교를 형성,조건부,글루타르알데하이드보다 독성이 낮은 천연 대안이 필요할 때. 세포 봉입 가교는 제한적,REVIEW;VENDOR,"PMC13027746[전문 확인, 참고문헌]; PMC13408534[전문 확인, 참고문헌]; PMC4598938[전문 확인, 참고문헌]; Sigma-Aldrich G4796(2026-09-16 확인)","해파리 콜라겐 3D 하이드로겔의 제니핀 가교(Riacci et al., Gels 2021;7:238), 제니핀 가교 연골 유래 매트릭스의 인간 지방줄기세포 연골분화(Cheng et al., Tissue Eng Part A 2013;19:484) 등이 본 자료의 전문에서 인용됨. 본 자료에는 콜라겐 겔 제니핀 농도-강성 원자료가 없음",정량 근거 없음,Merck/Sigma-Aldrich,"G4796 (≥98% HPLC, powder)","시약급, CAS 6902-77-8, ≥98%(HPLC)",치자(Gardenia) 열매 추출,프로안토시아니딘; 디알데하이드 전분(특허 US20230381377A1),세포 봉입 가교는 저농도에서만 가능하다고 알려지나 본 자료에 정량 근거 없음; 청색 착색으로 형광 이미징 간섭,중,"제품 규격은 제조사에서 확인, 콜라겐계 정량 근거는 확보 실패"
CL-L6-005,L6,미생물 트랜스글루타미네이스(mTG),Microbial transglutaminase (Activa TI),글루타민-라이신 사이 γ-Glu-ε-Lys 이소펩타이드 가교 형성. 중성 pH·37 °C에서 작동,조건부,겔 강성을 10배 이상 올려야 할 때. 세포 존재 하 가교가 가능한 몇 안 되는 수단,DOSE;REVIEW;VENDOR,PMC13492384[전문 확인]; PMC4589685[전문 확인]; PMC13254370[전문 확인]; PMC13504320[전문 확인]; Ajinomoto Activa-TI 사양(2026-09-16 검색 확인),"PMC13492384: 9 mg/mL 콜라겐 I 겔을 PBS 중 100 µg/mL mTG(Ajinomoto)로 하룻밤 처리 시 저장탄성률 G'가 438 ± 87 Pa → 11,839 ± 5,423 Pa(약 27배). PMC4589685: 재조합 인간 TGII 0.1 µg(1×) 또는 1 µg(10×)를 1·2 mg/mL 콜라겐에 중화 직후 혼합 — 세포 존재 하에서 가교했고 2D 대조에서 세포 자체에는 영향 없음. 10배 농도는 추가 효과 없음. PMC13504320: 콜라겐 대비 TG 4% (w/w), 45 °C 60분 후 90 °C 10분 실활","겔 후처리: 100 µg/mL, PBS, 하룻밤; 세포 봉입: 재조합 TGII 0.1 µg/겔(1·2 mg/mL 콜라겐); 식품효소 활성 81~135 U/g",Ajinomoto (Activa TI) / R&D Systems(재조합 인간 TGII) / Zedira,Activa TI; 확보 실패: R&D 재조합 TGII 품번 미검증,"식품급(Activa TI, 말토덱스트린 99% + 효소 1%) / 연구용(재조합)",Streptomyces mobaraensis 발효,라이실 옥시다제; EDC/NHS,식품급은 말토덱스트린 담체가 배양계에 혼입; 과가교 시 세포 이동 저해(1 mg/mL 겔에서 이동속도 유의 감소),상,G' 수치·세포 봉입 가능성·용량 포화가 전문 3편에서 정량 확인됨
CL-L6-006,L6,리보플라빈-5'-인산(광개시제),Riboflavin-5'-phosphate (photosensitizer),UVA 조사 하에서 콜라겐을 광가교. 비타민 유래로 잔류 독성이 낮음,조건부,세포 존재 하 광가교를 노릴 때. 다만 UVA/리보플라빈은 각막 내피 독성이 보고됨,REVIEW,"PMC13027746[전문 확인, 참고문헌]; PMC7299624[전문 확인, 참고문헌]","PMC13027746은 리보플라빈 존재 하 UV 조사로 pH 반응성 콜라겐 하이드로겔을 제조한 문헌(Setoyama et al., Int J Mol Sci 2024;25:10439)을 인용. PMC7299624은 리보플라빈/UVA 처리의 각막 내피 세포독성 보고(Wollensak et al., Ophthalmic Res 2003;35:324)를 인용",정량 근거 없음,Merck/Sigma-Aldrich,F6750 (riboflavin 5'-monophosphate sodium salt). 확보 실패: 제조사 페이지 원문 미확인,시약급,화학/발효 합성,Irgacure 2959; 에오신 Y + HRP/H2O2; Ru(bpy)3/SPS,UVA 자체가 세포 DNA 손상·각막 내피 독성 유발; 조사량 최적화 필수,중,본 자료에서는 2차 인용 수준 — 콜라겐계 정량 조건 확보 실패
CL-L6-007,L6,Irgacure 2959(광개시제),Irgacure 2959 photoinitiator,365 nm UV로 메타크릴화 콜라겐을 라디칼 중합시켜 강성을 배가,조건부,메타크릴화 콜라겐(PhotoCol)을 쓸 때만 동반 필요,VENDOR;DOSE,Advanced BioMatrix DFU 5201 Rev 07(2026-09-16 확인),"제조사 DFU: 100 mg Irgacure를 메탄올 1 mL에 용해(10% 용액, 용해 후 2주 유효), 총 부피(콜라겐+중화액)의 0.01배를 첨가, 365 nm UV 5분 조사. 레올로지 결과 4 mg/mL 914 Pa → UV 가교 1,690 Pa, 6 mg/mL 2,020 → 4,420 Pa, 8 mg/mL 3,320 → 6,025 Pa","총 부피의 1% (v/v)(10% 메탄올 용액 기준); 365 nm, 5분",Advanced BioMatrix,5200-100MG (키트 #5201-1KIT 구성품),연구용,화학 합성,리보플라빈/UVA; Ru/SPS; 에오신/HRP,메탄올 용매가 세포에 유입; UV 조사 자체의 세포 손상; 개시제 용액 2주 유효기간,상,제조사 DFU 원문에서 배합·조사조건·강성 수치를 모두 확인
CL-L6-008,L6,메타크릴화 I형 콜라겐,Methacrylated type I collagen (PhotoCol),콜라겐 라이신 ε-아민을 메타크릴화해 광가교 가능하게 만든 본체 겸 가교 플랫폼,조건부,열겔화만으로 강성이 부족하고 세포 봉입 상태에서 강성을 조절해야 할 때,VENDOR;DOSE,Advanced BioMatrix DFU 5201 Rev 07(2026-09-16 확인),"제조사 DFU: 소 가죽 텔로펩타이드 보존 콜라겐의 전체 라이신 중 20% 초과가 메타크릴화됨. 20 mM 아세트산으로 3~8 mg/mL 재용해, 중화액을 콜라겐 1 mL당 80~95 µL(농도별)로 혼합해 최종 pH 7.0~7.4","3~8 mg/mL; 중화액 비율 3 mg/mL→95 µL/mL, 4→90, 6→85, 8→80; 겔화 tube/kinetic ≤10분",Advanced BioMatrix,5198-100MG (단품) / 5201-1KIT (키트),"연구용, SDS-PAGE 순도 ≥98%, 엔도톡신 ≤10 EU/mL, 무균",소 가죽(폐쇄군),일반 콜라겐 + mTG 후가교,메타크릴화로 라이신이 소모되어 세포 부착·LOX 가교 부위가 감소; 라디칼 중합 중 산화 스트레스,상,제조사 DFU 원문에서 치환도·용해·중화·겔화 규격을 모두 확인
CL-L6-009,L6,글루타르알데하이드,Glutaraldehyde,아민 간 시프염기 가교. 매우 강하지만 세포 독성이 지속적,선택,체외 오가노이드 배양에는 부적합. 탈세포 이식재 고정 등 비세포 용도에 한정,DOSE;REVIEW,PMC13492384[전문 확인]; PMC5123637[전문 확인],"PMC13492384: 9 mg/mL 콜라겐 I 겔을 2.5% 글루타르알데하이드에 하룻밤 담그면 G'가 438 ± 87 Pa → 5,396 ± 1,678 Pa(약 12배). PMC5123637: 가장 널리 알려진 콜라겐 가교제이나 분해 중 글루타르알데하이드 사슬이 서서히 방출되어 세포독성이 지속되므로 적용 범위가 크게 제한됨","2.5% (v/v), 하룻밤(4 °C~실온), 이후 PBS 3회 이상 과량 세척",Merck/Sigma-Aldrich,"G5882 (grade I, 25% in H2O)",시약급/EM급,화학 합성,제니핀; EDC/NHS; mTG,세포 봉입 절대 불가; 잔류 알데하이드 세포독성; 잔류 가교제 시험 필수,상,G' 수치와 독성 기전이 전문 2편에서 확인됨
CL-L6-010,L6,탈수열처리(DHT) 공정,Dehydrothermal treatment (DHT),진공·고온에서 카복실기와 아민기를 반응시켜 시약 없이 가교. 잔류물 없음,선택,동결건조 다공성 지지체 전용. 수화 겔·세포 봉입 불가,REVIEW;DOSE,PMC5123637[전문 확인],DHT는 진공 하 100~150 °C로 가열해 카복실·아민 반응을 유도하며 온도가 올라갈수록 가교밀도가 증가. 다만 150 °C 초과 시 콜라겐 변성이 시작되어 180 °C에서는 변성도가 60%에 달함,"100~150 °C, 진공; 150 °C 초과 금지(180 °C에서 변성 60%)",해당 없음(장비 공정),진공 오븐(예: Thermo Vacutherm),해당 없음,무시약 공정,UV 가교; EDC/NHS,150 °C 초과 시 변성; 겔 형태에는 적용 불가,상,온도-변성 관계가 전문에서 정량 확인됨
CL-L6-011,L6,"UV 가교(245 nm, 무개시제)","UV crosslinking (~245 nm, initiator-free)",콜라겐의 타이로신·페닐알라닌 방향족 고리를 반응시켜 가교. 개시제 불필요,선택,세포 없는 지지체에서만. 개시제 잔류가 문제될 때 대안,REVIEW,PMC5123637[전문 확인],"UV 가교는 약 245 nm 노출 후 타이로신·페닐알라닌의 방향족기 반응에 의존하며, 시험된 최고 가교 강도에서도 리간드와 세포 부착이 유지됨. 다만 기계강도 증가와 콜라겐 섬유 분해 사이에 상충관계가 존재",약 245 nm; 조사량은 문헌별 상이(본 자료에 구체 조사량 없음),해당 없음(장비 공정),UV 가교기(예: UVP CL-1000),해당 없음,무시약 공정,Irgacure 2959 + 365 nm; 리보플라빈/UVA,245 nm는 DNA 흡수 파장대로 세포 봉입 불가; 과조사 시 콜라겐 사슬 절단,상,"메커니즘·장단점이 전문에서 확인, 조사량 정량은 미확보"
CL-L6-012,L6,라이실 옥시다제(LOX),Lysyl oxidase,체내 콜라겐 가교 효소. 텔로펩타이드 영역 라이신을 산화해 생리적 가교를 형성,선택,생리적 가교를 체외에서 재현하려는 연구 목적 외에는 불필요. 상용 활성 효소 확보가 어려움,REVIEW;OMIT,PMC5123637[전문 확인]; PMC13254370[전문 확인]; PMC8203293[전문 확인],"PMC5123637: LOX는 구리 의존 효소로 분자의 텔로펩타이드 영역 라이신을 산화하며, LOX가 없으면 ECM의 기계적 발달이 정지하고 섬유 크기·간격이 불규칙해짐. 체외 형성 콜라겐 구조물에서는 LOX의 역할을 화학·물리 가교제가 대신함. PMC13254370: LOX, TGM2, AGE가 콜라겐 가교를 매개하는 3대 요인. PMC8203293: LOX 억제로 종양 강성을 되돌리면 T세포 이동과 항PD-1 반응이 개선",정량 근거 없음,확보 실패: 활성형 재조합 LOX 상용품 미확인,해당 없음,해당 없음,재조합 단백질(구리 보조인자 필요),mTG(효소 대안); EDC/NHS,아텔로콜라겐은 텔로펩타이드가 제거되어 LOX 기질 부위가 없음 — 아텔로 + LOX 조합은 원리적으로 불가,상,LOX의 작용 부위가 텔로펩타이드임이 전문에서 확인되어 아텔로/텔로 선택과 직결
CL-L6-013,L6,환원당 당화(트레오스/리보스),Reducing sugar glycation (threose / ribose),비효소적 AGE 가교로 서서히 강성을 올림,선택,노화·섬유화 모델을 만들 때만. 일반 오가노이드 배양에 불필요,REVIEW,PMC5123637[전문 확인]; PMC13254370[전문 확인],PMC5123637: 비효소 반응 중 아르지닌-라이신 쌍에서의 당화가 가장 흔하며 AGE를 생성해 매트릭스를 경화시킴. PMC13254370: AGE는 LOX·TGM2와 함께 콜라겐 가교를 매개하는 3대 요인,정량 근거 없음,Merck/Sigma-Aldrich,확보 실패: D-트레오스 품번 미검증,시약급,화학 합성,mTG; EDC/NHS,당화 산물이 세포 대사·염증 신호를 교란; 반응이 느려 배양 중 강성이 계속 변함,중,"기전은 전문 확인, 정량 조건 확보 실패"
CL-L6-014,L6,디알데하이드 전분,Dialdehyde starch,전분 유래 다가 알데하이드로 콜라겐을 가교. 세포 파종 지지체 제작,선택,바이오프린팅 지지체 특허 범주. 콜라겐 I/III 오가노이드 겔의 필수 요소 아님,CLAIM,특허 US20230381377A1(Scripps Health) 독립항 1·2,"독립항 1: '디알데하이드 전분으로 가교된 콜라겐을 포함하는 하이드로겔과 그 위에 파종된 연골세포 집단을 포함하는 조성물'. 종속 청구항은 하이드로겔 중 콜라겐 농도를 0.1~75% w/v, 0.5~50% w/v, 조성물 중 4~8% w/v로 한정",콜라겐 4~8% (w/v)(청구항 최협 범위),확보 실패: 상용 디알데하이드 전분 세포배양급 미확인,US20230381377A1 (특허번호),해당 없음,전분 산화물,제니핀; mTG,알데하이드계 잔류 독성; 특허 실시권,중,"청구항 원문 확인, 제품 미확인"
